X,Reason,Title,DOI,trimmed_title,CombinedCites,CombinedAuthors,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,DOI_missing,CitationURL,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
195,,Expect and you shall perceive: People who expect better in turn perceive better behaviors from their romantic partners.,MISSING_DOI_expect and you shall perceive people who expect be,expect and you shall perceive people who expect be,1,"S Joel, JA Maxwell, D Khera, J Peetz…",2022,Journal of Personality …,psycnet.apa.org,https://psycnet.apa.org/record/2023-20898-001,"https://scholar.google.com/scholar?cites=8638123942569378660&as_sdt=2005&sciodt=0,5&hl=en",84,TRUE,NA,1,1,0,5,1,"People who are happy with their romantic relationships report that their partners are particularly effective at meeting their everyday relational needs. However, the literature …",NA,"https://scholar.google.com/scholar?q=related:ZAOlgvXH4HcJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
196,,Experiential learning of cultural norms: The role of implicit and explicit aptitudes.,MISSING_DOI_experiential learning of cultural norms the role o,experiential learning of cultural norms the role o,11,"K Savani, MW Morris, K Fincher, JG Lu…",2022,… and Social Psychology,psycnet.apa.org,https://psycnet.apa.org/record/2022-22107-001,"https://scholar.google.com/scholar?cites=734806105497384425&as_sdt=2005&sciodt=0,5&hl=en",44,TRUE,NA,11,11,2,5,1,"How should I greet her? Should I do what he requests? Newcomers to a culture learn its interpersonal norms at varying rates, largely through trial-and-error experience. Given that …",https://www.researchgate.net/profile/Jackson-Lu-2/publication/353969506_Experiential_Learning_of_Cultural_Norms_The_Role_of_Implicit_and_Explicit_Aptitudes/links/61f88115aad5781d41c27469/Experiential-Learning-of-Cultural-Norms-The-Role-of-Implicit-and-Explicit-Aptitudes.pdf,"https://scholar.google.com/scholar?q=related:6bX1gEKOMgoJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
203,,"Fact or artifact? Demand characteristics and participants' beliefs can moderate, but do not fully account for, the effects of facial feedback on emotional experience.",MISSING_DOI_fact or artifact demand characteristics and partic,fact or artifact demand characteristics and partic,12,"NA Coles, L Gaertner, B Frohlich…",2022,Journal of Personality …,psycnet.apa.org,https://psycnet.apa.org/record/2022-65462-001,"https://scholar.google.com/scholar?cites=13200751577735327876&as_sdt=2005&sciodt=0,5&hl=en",128,TRUE,NA,12,12,3,4,1,"The facial feedback hypothesis suggests that an individual's facial expressions can influence their emotional experience (eg, that smiling can make one feel happier). However …",https://psycnet.apa.org/manuscript/2022-65462-001.pdf,"https://scholar.google.com/scholar?q=related:hHAXj559MrcJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
218,,Frustration-affirmation? Thwarted goals motivate compliance with social norms for violence and nonviolence.,MISSING_DOI_frustrationaffirmation thwarted goals motivate com,frustrationaffirmation thwarted goals motivate com,32,"NP Leander, M Agostini, W Stroebe…",2020,… personality and social …,psycnet.apa.org,https://psycnet.apa.org/journals/psp/119/2/249/,"https://scholar.google.com/scholar?cites=17531518517554842042&as_sdt=2005&sciodt=0,5&hl=en",60,TRUE,NA,32,10.67,8,4,3,"When thwarted goals increase endorsement of violence, it may not always reflect antisocial tendencies or some breakdown of self-regulation per se; such responses can also reflect an …",https://research.rug.nl/files/132372120/ContentServer_8_.pdf,"https://scholar.google.com/scholar?q=related:ugkKrDR3TPMJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2020&as_yhi=2020"
220,,Gain-but not loss-related self-perceptions of aging predict mortality over a period of 23 years: A multidimensional approach.,MISSING_DOI_gainbut not lossrelated selfperceptions of aging p,gainbut not lossrelated selfperceptions of aging p,15,"S Wurm, SK Schäfer",2022,Journal of personality and social psychology,psycnet.apa.org,https://psycnet.apa.org/record/2022-31793-001,"https://scholar.google.com/scholar?cites=15581952598693709558&as_sdt=2005&sciodt=0,5&hl=en",28,TRUE,NA,15,15,8,2,1,Abstract [Correction Notice: An Erratum for this article was reported online in Journal of Personality and Social Psychology on Apr 21 2022 (see record 2022-56187-001). In the …,https://www.researchgate.net/profile/Sarah-Schaefer-2/publication/357806622_Gain-_But_Not_Loss-Related_Self-Perceptions_of_Aging_Predict_Mortality_Over_a_Period_of_23_Years_A_Multidimensional_Approach/links/624c8c6dd726197cfd3e0fc5/Gain-But-Not-Loss-Related-Self-Perceptions-of-Aging-Predict-Mortality-Over-a-Period-of-23-Years-A-Multidimensional-Approach.pdf,"https://scholar.google.com/scholar?q=related:9gYd8FQ3PtgJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
226,,Gheirat as a complex emotional reaction to relational boundary violations: A mixed-methods investigation.,MISSING_DOI_gheirat as a complex emotional reaction to relatio,gheirat as a complex emotional reaction to relatio,17,"P Razavi, H Shaban-Azad…",2022,Journal of Personality and …,psycnet.apa.org,https://psycnet.apa.org/record/2022-64370-001,"https://scholar.google.com/scholar?cites=1516915472996684075&as_sdt=2005&sciodt=0,5&hl=en",104,TRUE,NA,17,17,6,3,1,"People from different cultural backgrounds vary in how they define, perceive, and react to violations of relational boundaries. Muslim cultures are diverse and include nearly one in …",https://osf.io/8ev23/download,"https://scholar.google.com/scholar?q=related:K9FC8pUqDRUJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
229,,Golden rules for engaging students in learning activities,MISSING_DOI_golden rules for engaging students in learning act,golden rules for engaging students in learning act,10,N Pino-James,2018,Journal of Personality and Social Psychology,bepart.platoniq.net,https://bepart.platoniq.net/uploads/decidim/attachment/file/10/03._Golden_Rules_for_Engaging_Students_in_Learning_Activities.pdf,"https://scholar.google.com/scholar?cites=5848397293703790556&as_sdt=2005&sciodt=0,5&hl=en",104,TRUE,NA,10,2,10,1,5,"When we think of student engagement in learning activities, it is often convenient to understand engagement with an activity as being represented by good behavior (ie …",https://bepart.platoniq.net/uploads/decidim/attachment/file/10/03._Golden_Rules_for_Engaging_Students_in_Learning_Activities.pdf,"https://scholar.google.com/scholar?q=related:3P-RPFquKVEJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2018"
230,,Grammatical gender and anthropomorphism:“It” depends on the language.,MISSING_DOI_grammatical gender and anthropomorphismit depends ,grammatical gender and anthropomorphismit depends ,2,"A Mecit, TM Lowrey, LJ Shrum",2022,… Personality and Social Psychology,psycnet.apa.org,https://psycnet.apa.org/record/2022-44219-001,"https://scholar.google.com/scholar?cites=8355272424734139125&as_sdt=2005&sciodt=0,5&hl=en",149,TRUE,NA,2,2,1,3,1,"When English speakers anthropomorphize animals or objects, they refer to such entities using human pronouns (eg, he or she instead of it). Unlike English, which marks gender only …",https://psyarxiv.com/ngh8f/download?format=pdf,"https://scholar.google.com/scholar?q=related:9SLljQDk83MJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
238,,Helpful and Helpless Optimism,MISSING_DOI_helpful and helpless optimism,helpful and helpless optimism,0,J Tong,2019,Journal of Personality and Social Psychology,NA,NA,NA,123,TRUE,NA,0,0,0,1,#NAME?,NA,NA,"https://scholar.google.com/scholar?q=related:OPlx7SumdH4J:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2019&as_yhi=2019"
239,,"Here one time, gone the next: Fluctuations in support received and provided predict changes in relationship satisfaction across the transition to parenthood.",MISSING_DOI_here one time gone the next fluctuations in suppor,here one time gone the next fluctuations in suppor,3,"J Eller, YU Girme, BP Don, WS Rholes…",2022,Journal of Personality …,psycnet.apa.org,https://psycnet.apa.org/record/2023-15847-001,"https://scholar.google.com/scholar?cites=9924110666821548284&as_sdt=2005&sciodt=0,5&hl=en",40,TRUE,NA,3,3,1,5,1,"Extant research has demonstrated that higher mean (average) levels of social support often produce robust relational benefits. However, partners may not maintain the same level of …",NA,"https://scholar.google.com/scholar?q=related:_DiQPxKGuYkJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
240,,Hiding success.,MISSING_DOI_hiding success,hiding success,26,"AR Roberts, EE Levine, O Sezer",2021,Journal of Personality and Social …,psycnet.apa.org,https://psycnet.apa.org/journals/psp/120/5/1261/,"https://scholar.google.com/scholar?cites=1783974623212454522&as_sdt=2005&sciodt=0,5&hl=en",60,TRUE,NA,26,13,9,3,2,"Self-promotion is common in everyday life. Yet, across 8 studies (N= 1,687) examining a broad range of personal and professional successes, we find that individuals often hide their …",http://ovulsezer.com/wp-content/uploads/2021/03/1.-Roberts-Levine-Sezer.pdf,"https://scholar.google.com/scholar?q=related:esLjyHfzwRgJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2021&as_yhi=2021"
247,,How do explicit and implicit evaluations shift? A preregistered meta-analysis of the effects of co-occurrence and relational information.,MISSING_DOI_how do explicit and implicit evaluations shift a p,how do explicit and implicit evaluations shift a p,5,"B Kurdi, KN Morehouse, Y Dunham",2022,Journal of Personality and …,psycnet.apa.org,https://psycnet.apa.org/record/2023-20206-001,"https://scholar.google.com/scholar?cites=11061978159740717156&as_sdt=2005&sciodt=0,5&hl=en",36,TRUE,NA,5,5,2,3,1,"Based on 660 effect sizes obtained from 23,255 adult participants across 51 reports of experimental studies, this meta-analysis investigates whether and when explicit (self …",https://benedekkurdi.com/files/Kurdi_JPSP_2022.pdf,"https://scholar.google.com/scholar?q=related:ZIh5BIcKhJkJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
270,,Hubungan Antara Pengendalian Diri (Self Control) Dengan Kematangan Emosi Siswa Kelas Xi Di Smk Pelayaran Hang Tuah Kediri Tahun,MISSING_DOI_hubungan antara pengendalian diri self control den,hubungan antara pengendalian diri self control den,3,T Pradina,2017,Journal of Personality and Social Psychology,NA,NA,"https://scholar.google.com/scholar?cites=10834126061074588516&as_sdt=2005&sciodt=0,5&hl=en",118,TRUE,NA,3,0.5,3,1,6,NA,NA,"https://scholar.google.com/scholar?q=related:ZCMnOkCMWpYJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
275,,Hábitos de estudio en los estudiantes del primero y segundo de secundaria de una Institución Educativa Nacional del distrito de San Juan de Lurigancho …,MISSING_DOI_hábitos de estudio en los estudiantes del primero ,hábitos de estudio en los estudiantes del primero ,8,E Cárcamo,2017,Journal of Personality and Social Psychology,NA,NA,"https://scholar.google.com/scholar?cites=2330015460207172638&as_sdt=2005&sciodt=0,5&hl=en",113,TRUE,NA,8,1.33,8,1,6,NA,NA,"https://scholar.google.com/scholar?q=related:HhzRUrfgVSAJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
278,,Identificación de genes de resistencia a Betalactámicos de cepas (BLEE) en dos especies de aves silvestres: Cormorán Neotropical (Phalacrocorax …,MISSING_DOI_identificación de genes de resistencia a betalactá,identificación de genes de resistencia a betalactá,4,N Reyes,2017,Journal of Personality and Social Psychology,NA,NA,"https://scholar.google.com/scholar?cites=6197175648363531428&as_sdt=2005&sciodt=0,5&hl=en",115,TRUE,NA,4,0.67,4,1,6,NA,NA,"https://scholar.google.com/scholar?q=related:pMxoC2vKAFYJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
287,,"Implicit theories of opportunity: When opportunity fails to knock, keep waiting, or start cultivating?",MISSING_DOI_implicit theories of opportunity when opportunity ,implicit theories of opportunity when opportunity ,0,"PA O'Keefe, EJ Horberg, F Lee…",2022,… of Personality and Social …,psycnet.apa.org,https://psycnet.apa.org/record/2023-29422-001,NA,121,TRUE,NA,0,0,0,4,1,"We live in a time of disappearing professions, pandemic-related upheaval, and growing social inequality. While recognizing that good opportunities are unequally distributed in …",https://mindsets-and-motivation-lab.commons.yale-nus.edu.sg/files/2023/02/OKeefe-et-al-2022-TOO.pdf,"https://scholar.google.com/scholar?q=related:FhgyiZMZt7oJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
293,,Indigenous personality structure in East and West Africa: Lexical studies of personality in Maa and Supyire-Senufo,MISSING_DOI_indigenous personality structure in east and west ,indigenous personality structure in east and west ,4,"AG Thalmayer, G Saucier, L Ole-Kotikash, D Payne",2019,Journal of Personality and …,NA,NA,"https://scholar.google.com/scholar?cites=4732350700261764474&as_sdt=2005&sciodt=0,5&hl=en",127,TRUE,NA,4,1,1,4,4,NA,NA,"https://scholar.google.com/scholar?q=related:em2sieOvrEEJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2019&as_yhi=2019"
300,,Instrumental goal activation increases online petition support across languages.,MISSING_DOI_instrumental goal activation increases online peti,instrumental goal activation increases online peti,8,DM Markowitz,2022,Journal of Personality and Social Psychology,psycnet.apa.org,https://psycnet.apa.org/record/2023-26203-001,"https://scholar.google.com/scholar?cites=10234915168915141567&as_sdt=2005&sciodt=0,5&hl=en",111,TRUE,NA,8,8,8,1,1,Research on processing fluency and instrumental goal activation suggests people often perceive complex information positively when effort in a task is valued. The current article …,https://www.researchgate.net/profile/David-Markowitz/publication/366129844_Instrumental_goal_activation_increases_online_petition_support_across_languages/links/64627b8ff43b8a29ba526fac/Instrumental-goal-activation-increases-online-petition-support-across-languages.pdf,"https://scholar.google.com/scholar?q=related:v7NxhR65CY4J:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
309,,Investigating the factors affecting work-life balance,MISSING_DOI_investigating the factors affecting worklife balan,investigating the factors affecting worklife balan,2,D Anderson,2018,Journal of Personality and Social Psychology,NA,NA,"https://scholar.google.com/scholar?cites=14177758301526092071&as_sdt=2005&sciodt=0,5&hl=en",111,TRUE,NA,2,0.4,2,1,5,NA,NA,"https://scholar.google.com/scholar?q=related:J-nO6Q6EwcQJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2018"
325,,Keep talking:(Mis) understanding the hedonic trajectory of conversation.,MISSING_DOI_keep talkingmis understanding the hedonic trajecto,keep talkingmis understanding the hedonic trajecto,18,"M Kardas, J Schroeder, E O'Brien",2021,Journal of Personality and …,psycnet.apa.org,https://psycnet.apa.org/record/2022-16089-001,"https://scholar.google.com/scholar?cites=4057403468158783708&as_sdt=2005&sciodt=0,5&hl=en",61,TRUE,NA,18,9,6,3,2,"People regularly interact with new acquaintances, yet little research has examined the hedonic dynamics of these conversations or the extent to which people are aware of them …",https://julianaschroeder.com/s/Keep-talking-Misunderstanding-the-hedonic-trajectory-of-conversation-ykr6.pdf,"https://scholar.google.com/scholar?q=related:3NAKDvXKTjgJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2021&as_yhi=2021"
326,,Kemitraan Antara Pemerintah-Swasta Dalam Pembangunan Daerah Berbasis Daya Saing (Studi diKota Batam),MISSING_DOI_kemitraan antara pemerintahswasta dalam pembanguna,kemitraan antara pemerintahswasta dalam pembanguna,1,AMR Manalu,2017,Journal of Personality and Social Psychology,jurnal.umrah.ac.id,http://jurnal.umrah.ac.id/wp-content/uploads/gravity_forms/1-ec61c9cb232a03a96d0947c6478e525e/2017/08/JURNAL44.pdf,"https://scholar.google.com/scholar?cites=15714928111675286302&as_sdt=2005&sciodt=0,5&hl=en",127,TRUE,NA,1,0.17,1,1,6,Kemitraan atau kerjasama pemerintah–swasta menjadi hal yang sangat diperlukan sejak era Otonomi Daerah mulai diberlakukan disetiap daerah baik kota maupun kabupaten di …,http://jurnal.umrah.ac.id/wp-content/uploads/gravity_forms/1-ec61c9cb232a03a96d0947c6478e525e/2017/08/JURNAL44.pdf,"https://scholar.google.com/scholar?q=related:HqM0N9ujFtoJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
330,,Konsep Pendidikan Akhlak Menurut Imam Al-Ghazali,MISSING_DOI_konsep pendidikan akhlak menurut imam alghazali,konsep pendidikan akhlak menurut imam alghazali,2,"WJ Fleeson, E Jayawickreme, ABAP Jones, NA Brown…",2017,Journal of Personality and …,NA,NA,"https://scholar.google.com/scholar?cites=13634639724170650718&as_sdt=2005&sciodt=0,5&hl=en",123,TRUE,NA,2,0.33,0,5,6,NA,NA,"https://scholar.google.com/scholar?q=related:XiSf95b4N70J:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
331,,la progresividad en los impuestos directos para una adecuada redistribución de la riqueza y la configuración de la justicia tributaria en el Ecuador,MISSING_DOI_la progresividad en los impuestos directos para un,la progresividad en los impuestos directos para un,2,P Correa,2017,Journal of Personality and Social Psychology,NA,NA,"https://scholar.google.com/scholar?cites=16064817072311401924&as_sdt=2005&sciodt=0,5&hl=en",119,TRUE,NA,2,0.33,2,1,6,NA,NA,"https://scholar.google.com/scholar?q=related:xH3AIAOy8d4J:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
332,,Latane~ B.(1968). Bystander intervention in emergencies: Diffusion of responsibility,MISSING_DOI_latane~ b1968 bystander intervention in emergencie,latane~ b1968 bystander intervention in emergencie,140,JM Darley,2020,Journal of personality and social psychology,NA,NA,"https://scholar.google.com/scholar?cites=9959542958449916776&as_sdt=2005&sciodt=0,5&hl=en",129,TRUE,NA,140,46.67,140,1,3,NA,NA,"https://scholar.google.com/scholar?q=related:aHumg41nN4oJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2020&as_yhi=2020"
340,,Long live A (me) rica! An examination of the interplay between nationalistic–symbolic immortality striving and belief in life after death.,MISSING_DOI_long live a me rica an examination of the interpla,long live a me rica an examination of the interpla,5,"A Scott, J Schimel, M Sharp",2021,… of personality and social psychology,psycnet.apa.org,https://psycnet.apa.org/journals/psp/120/4/861/,"https://scholar.google.com/scholar?cites=12715247147382281190&as_sdt=2005&sciodt=0,5&hl=en",131,TRUE,NA,5,2.5,2,3,2,Terror management theory (TMT) proposes that the awareness of our eventual death is at odds with our evolved desire to live and that humans attempt to resolve this psychological …,https://www.researchgate.net/profile/Andy-Scott-3/publication/349046103_Long_live_America_An_examination_of_the_interplay_between_nationalistic-symbolic_immortality_striving_and_belief_in_life_after_death/links/601d87eb299bf1cc26a6c2e2/Long-live-America-An-examination-of-the-interplay-between-nationalistic-symbolic-immortality-striving-and-belief-in-life-after-death.pdf,"https://scholar.google.com/scholar?q=related:5hMFi-mhdbAJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2021&as_yhi=2021"
350,,Mapping the self: A network approach for understanding psychological and neural representations of self-concept structure.,MISSING_DOI_mapping the self a network approach for understand,mapping the self a network approach for understand,17,"J Elder, B Cheung, T Davis…",2022,Journal of personality and …,psycnet.apa.org,https://psycnet.apa.org/record/2022-78365-001,"https://scholar.google.com/scholar?cites=17179216876406841537&as_sdt=2005&sciodt=0,5&hl=en",96,TRUE,NA,17,17,4,4,1,How people self-reflect and maintain a coherent sense of self is an important question that spans from early philosophy to modern psychology and neuroscience. Research on the self …,https://psyarxiv.com/hj87w/download?format=pdf,"https://scholar.google.com/scholar?q=related:wSCgzbrWaO4J:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
352,,Mastery-approach goals: A large-scale cross-cultural analysis of antecedents and consequences.,MISSING_DOI_masteryapproach goals a largescale crosscultural a,masteryapproach goals a largescale crosscultural a,4,"J Guo, X Hu, AJ Elliot, HW Marsh…",2022,Journal of Personality …,psycnet.apa.org,https://psycnet.apa.org/record/2023-02637-001,"https://scholar.google.com/scholar?cites=6886060399343604380&as_sdt=2005&sciodt=0,5&hl=en",89,TRUE,NA,4,4,1,5,1,"Abstract Mastery-approach (MAP) goals, focusing on developing competence and acquiring task mastery, are posited to be the most optimal, beneficial type of achievement goal for …",https://psyarxiv.com/zph2a/download?format=pdf,"https://scholar.google.com/scholar?q=related:nJLCBHMzkF8J:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
355,,Measures of political ideology and beliefs are not appropriate for measuring ideologies in people's heads because they primarily measure stable traits,MISSING_DOI_measures of political ideology and beliefs are not,measures of political ideology and beliefs are not,1,"MJ Brandt, GS Morgan",2021,… of Personality and Social Psychology,files.de-1.osf.io,https://files.de-1.osf.io/v1/resources/xhs9g/providers/osfstorage/60803e2b9b0849008d03e9d5?format=pdf&action=download&direct&version=1,"https://scholar.google.com/scholar?cites=6907122271325683005&as_sdt=2005&sciodt=0,5&hl=en",138,TRUE,NA,1,0.5,1,2,2,"Ideology and political beliefs are individual-level phenomena that are intended to describe the political thoughts of a person. However, the modal study of the structure of political …",https://files.de-1.osf.io/v1/resources/xhs9g/providers/osfstorage/60803e2b9b0849008d03e9d5?format=pdf&action=download&direct&version=1,"https://scholar.google.com/scholar?q=related:PX2OOhwH218J:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2021&as_yhi=2021"
357,,Measuring the belief system of a person.,MISSING_DOI_measuring the belief system of a person,measuring the belief system of a person,8,MJ Brandt,2022,Journal of Personality and Social Psychology,psycnet.apa.org,https://psycnet.apa.org/record/2022-41545-001,"https://scholar.google.com/scholar?cites=352026484413449781&as_sdt=2005&sciodt=0,5&hl=en",140,TRUE,NA,8,8,8,1,1,"Theories of belief system structure and dynamics assume that belief systems are a person-level construct. However, measures of belief system structure do not measure the structure …",https://osf.io/e4vyh/download,"https://scholar.google.com/scholar?q=related:NUb-8jim4gQJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
398,,"of thesis “Phew, I made it!”–A narrative study on the self-deprecation of young Finnish",MISSING_DOI_of thesis phew i made ita narrative study on the s,of thesis phew i made ita narrative study on the s,1,A Laurikka,2017,Journal of Personality and Social Psychology,core.ac.uk,https://core.ac.uk/download/pdf/92854498.pdf,"https://scholar.google.com/scholar?cites=12162777980306678439&as_sdt=2005&sciodt=0,5&hl=en",99,TRUE,NA,1,0,1,1,#NAME?,"The purpose of this master's thesis is to recognize why, how, and with what potential consequences do young Finnish women with an academic business education do self …",https://core.ac.uk/download/pdf/92854498.pdf,"https://scholar.google.com/scholar?q=related:p2IfxiHeyqgJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
399,,Olfactory cues from romantic partners and strangers influence women's responses to stress.,MISSING_DOI_olfactory cues from romantic partners and stranger,olfactory cues from romantic partners and stranger,40,"MK Hofer, HK Collins, AV Whillans, ...",2018,… of Personality and Social …,psycnet.apa.org,https://psycnet.apa.org/journals/psp/114/1/1/,"https://scholar.google.com/scholar?cites=1239921847983891645&as_sdt=2005&sciodt=0,5&hl=en",72,TRUE,NA,40,8,10,4,5,"The scent of another person can activate memories, trigger emotions, and spark romantic attraction; however, almost nothing is known about whether and how human scents …",NA,"https://scholar.google.com/scholar?q=related:vWRT8lkWNREJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2018"
401,,On sanction effectiveness: How and why sanction-goal justifications affect rule compliance,MISSING_DOI_on sanction effectiveness how and why sanctiongoal,on sanction effectiveness how and why sanctiongoal,2,"M Mooijman, WW Van Dijk, E Van Dijk, N Ellemers",2017,Journal of Personality and Social …,NA,NA,"https://scholar.google.com/scholar?cites=12570128742672104189&as_sdt=2005&sciodt=0,5&hl=en",102,TRUE,NA,2,0.33,1,4,6,NA,NA,"https://scholar.google.com/scholar?q=related:_frl930Rcq4J:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
406,,On the value of modesty: How signals of status undermine cooperation.,MISSING_DOI_on the value of modesty how signals of status unde,on the value of modesty how signals of status unde,3,"S Srna, A Barasch, DA Small",2022,… Personality and Social Psychology,psycnet.apa.org,https://psycnet.apa.org/record/2022-53095-001,"https://scholar.google.com/scholar?cites=12091458559103001089&as_sdt=2005&sciodt=0,5&hl=en",108,TRUE,NA,3,3,1,3,1,"The widespread demand for luxury is best understood by the social advantages of signaling status (ie, conspicuous consumption; Veblen, 1899). In the present research, we examine …",https://osf.io/am7jh/download,"https://scholar.google.com/scholar?q=related:AeKwB399zacJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
410,,"ORCID: 0000-0003-3299-4858, Toure-Tillery, M. and Fishbach, A.(2019). The First-Member Heuristic: Group Members Labeled “First” Influence Judgment and …",MISSING_DOI_orcid 0000000332994858 touretillery m and fishbach,orcid 0000000332994858 touretillery m and fishbach,0,J Steinmetz,2019,"Journal of Personality and Social Psychology, doi",bayes.city.ac.uk,https://www.bayes.city.ac.uk/__data/assets/pdf_file/0005/495347/first-member-heuristic.pdf,NA,125,TRUE,NA,0,0,0,1,#NAME?,"People often make judgments about a group (eg, immigrants from a specific country) based on information about a single group member. Seven studies (N= 1,929) tested the …",https://www.bayes.city.ac.uk/__data/assets/pdf_file/0005/495347/first-member-heuristic.pdf,"https://scholar.google.com/scholar?q=related:l9agz6r5J9sJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2019&as_yhi=2019"
411,,OS EFEITOS DO ROUNDUP®(GLIFOSATO [N-(FOSFONOMETIL) GLICINA]) NO DESENVOLVIMENTO EMBRIONÁRIO E METABOLISMO ENERGÉTICO …,MISSING_DOI_os efeitos do roundup®glifosato nfosfonometil glic,os efeitos do roundup®glifosato nfosfonometil glic,2,W Fleeson,2017,Journal of Personality and Social Psychology,NA,NA,"https://scholar.google.com/scholar?cites=15761371282362356895&as_sdt=2005&sciodt=0,5&hl=en",120,TRUE,NA,2,0.33,2,1,6,NA,NA,"https://scholar.google.com/scholar?q=related:n1RAiqyju9oJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
