"","term","doi","page","author","title"
"148","Impairment","emery-et-al-2018-you-can-t-see-the-real-me-attachment-avoidance-self-verification-and-self-concept-clarity.pdf",10,"Lydia F. Emery, Wend...","You Cant See the Real Me: Attachment Av..."
"149","Dysfunction","evans-rubin-2021-in-a-class-on-their-own-investigating-the-role-of-social-integration-in-the-association-between-social.pdf",11,"Olivia Evans and Mar...","In a Class on Their Own: Investigating t..."
"150","accessib","eyal-epley-2017-exaggerating-accessible-differences-when-gender-stereotypes-overestimate-actual-group-differences.pdf",1,"Tal Eyal and Nichola...","Exaggerating Accessible Differences: Whe..."
"151","accessib","eyal-epley-2017-exaggerating-accessible-differences-when-gender-stereotypes-overestimate-actual-group-differences.pdf",2,"Tal Eyal and Nichola...","Exaggerating Accessible Differences: Whe..."
"152","accessib","eyal-epley-2017-exaggerating-accessible-differences-when-gender-stereotypes-overestimate-actual-group-differences.pdf",3,"Tal Eyal and Nichola...","Exaggerating Accessible Differences: Whe..."
"153","accessib","eyal-epley-2017-exaggerating-accessible-differences-when-gender-stereotypes-overestimate-actual-group-differences.pdf",4,"Tal Eyal and Nichola...","Exaggerating Accessible Differences: Whe..."
"154","accessib","eyal-epley-2017-exaggerating-accessible-differences-when-gender-stereotypes-overestimate-actual-group-differences.pdf",6,"Tal Eyal and Nichola...","Exaggerating Accessible Differences: Whe..."
"155","accessib","eyal-epley-2017-exaggerating-accessible-differences-when-gender-stereotypes-overestimate-actual-group-differences.pdf",8,"Tal Eyal and Nichola...","Exaggerating Accessible Differences: Whe..."
"156","accessib","eyal-epley-2017-exaggerating-accessible-differences-when-gender-stereotypes-overestimate-actual-group-differences.pdf",9,"Tal Eyal and Nichola...","Exaggerating Accessible Differences: Whe..."
"157","accessib","eyal-epley-2017-exaggerating-accessible-differences-when-gender-stereotypes-overestimate-actual-group-differences.pdf",10,"Tal Eyal and Nichola...","Exaggerating Accessible Differences: Whe..."
"158","accessib","eyal-epley-2017-exaggerating-accessible-differences-when-gender-stereotypes-overestimate-actual-group-differences.pdf",12,"Tal Eyal and Nichola...","Exaggerating Accessible Differences: Whe..."
"159","maim","eyal-epley-2017-exaggerating-accessible-differences-when-gender-stereotypes-overestimate-actual-group-differences.pdf",12,"Tal Eyal and Nichola...","Exaggerating Accessible Differences: Whe..."
"160","Syndrome","eyal-epley-2017-exaggerating-accessible-differences-when-gender-stereotypes-overestimate-actual-group-differences.pdf",12,"Tal Eyal and Nichola...","Exaggerating Accessible Differences: Whe..."
"161","Impairment","fairbairn-et-al-2021-mixing-misery-and-gin-the-effect-of-alcohol-administration-on-ostracism-response.pdf",2,"Catharine E. Fairbai...","Mixing Misery and Gin: The Effect of Alc..."
"162","Impairment","fairbairn-et-al-2021-mixing-misery-and-gin-the-effect-of-alcohol-administration-on-ostracism-response.pdf",11,"Catharine E. Fairbai...","Mixing Misery and Gin: The Effect of Alc..."
"163","Impairment","fairbairn-et-al-2021-mixing-misery-and-gin-the-effect-of-alcohol-administration-on-ostracism-response.pdf",13,"Catharine E. Fairbai...","Mixing Misery and Gin: The Effect of Alc..."
"164","disab","feldman-et-al-2017-agency-beliefs-over-time-and-across-cultures-free-will-beliefs-predict-higher-job-satisfaction.pdf",2,"Gilad Feldman, Jiing...","Agency Beliefs Over Time and Across Cult..."
"165","accessib","fernando-et-al-2018-functions-of-utopia-how-utopian-thinking-motivates-societal-engagement.pdf",13,"Julian W. Fernando, ...","Functions of Utopia: How Utopian Thinkin..."
"166","accessib","fida-et-al-2021-the-implicit-component-of-moral-disengagement-applying-the-relational-responding-task-to-investigate.pdf",1,"R. Fida, V. Ghezzi, ...","The Implicit Component of Moral Disengag..."
"167","accessib","fida-et-al-2021-the-implicit-component-of-moral-disengagement-applying-the-relational-responding-task-to-investigate.pdf",15,"R. Fida, V. Ghezzi, ...","The Implicit Component of Moral Disengag..."
"168","Malaise","fischer-et-al-2021-cultural-syndromes-in-a-changing-world-a-longitudinal-investigation-of-brazilian-jeitinho-social.pdf",3,"Ronald Fischer, Joha...","Cultural Syndromes in a Changing World: ..."
"169","Syndrome","fischer-et-al-2021-cultural-syndromes-in-a-changing-world-a-longitudinal-investigation-of-brazilian-jeitinho-social.pdf",1,"Ronald Fischer, Joha...","Cultural Syndromes in a Changing World: ..."
"170","Syndrome","fischer-et-al-2021-cultural-syndromes-in-a-changing-world-a-longitudinal-investigation-of-brazilian-jeitinho-social.pdf",2,"Ronald Fischer, Joha...","Cultural Syndromes in a Changing World: ..."
"171","Syndrome","fischer-et-al-2021-cultural-syndromes-in-a-changing-world-a-longitudinal-investigation-of-brazilian-jeitinho-social.pdf",3,"Ronald Fischer, Joha...","Cultural Syndromes in a Changing World: ..."
"172","Syndrome","fischer-et-al-2021-cultural-syndromes-in-a-changing-world-a-longitudinal-investigation-of-brazilian-jeitinho-social.pdf",5,"Ronald Fischer, Joha...","Cultural Syndromes in a Changing World: ..."
"173","Syndrome","fischer-et-al-2021-cultural-syndromes-in-a-changing-world-a-longitudinal-investigation-of-brazilian-jeitinho-social.pdf",10,"Ronald Fischer, Joha...","Cultural Syndromes in a Changing World: ..."
"174","Syndrome","fischer-et-al-2021-cultural-syndromes-in-a-changing-world-a-longitudinal-investigation-of-brazilian-jeitinho-social.pdf",12,"Ronald Fischer, Joha...","Cultural Syndromes in a Changing World: ..."
"175","Syndrome","fischer-et-al-2021-cultural-syndromes-in-a-changing-world-a-longitudinal-investigation-of-brazilian-jeitinho-social.pdf",13,"Ronald Fischer, Joha...","Cultural Syndromes in a Changing World: ..."
"176","accessib","fisher-hammond-2018-personal-ties-and-prejudice-a-meta-analysis-of-romantic-attachment-and-ambivalent-sexism.pdf",2,"Molly I. Fisher and ...","Personal Ties and Prejudice: A Meta-Anal..."
"177","accessib","fletcher-et-al-2020-reconsidering-best-practices-for-testing-the-ideal-standards-model-a-response-to-eastwick-finkel.pdf",1,"Garth J. O. Fletcher...","Reconsidering Best Practices for Testi..."
"178","Impairment","flores-et-al-2018-retracted-cardiovascular-and-self-regulatory-consequences-of-ses-based-social-identity-threat.pdf",3,"Abdiel J. Flores, Ta...","RETRACTED: Cardiovascular and Self-Regul..."
"179","Impairment","flores-et-al-2018-retracted-cardiovascular-and-self-regulatory-consequences-of-ses-based-social-identity-threat.pdf",4,"Abdiel J. Flores, Ta...","RETRACTED: Cardiovascular and Self-Regul..."
"180","Impairment","flores-et-al-2018-retracted-cardiovascular-and-self-regulatory-consequences-of-ses-based-social-identity-threat.pdf",11,"Abdiel J. Flores, Ta...","RETRACTED: Cardiovascular and Self-Regul..."
"181","Impairment","flores-et-al-2018-retracted-cardiovascular-and-self-regulatory-consequences-of-ses-based-social-identity-threat.pdf",12,"Abdiel J. Flores, Ta...","RETRACTED: Cardiovascular and Self-Regul..."
"182","Impairment","flores-et-al-2018-retracted-cardiovascular-and-self-regulatory-consequences-of-ses-based-social-identity-threat.pdf",15,"Abdiel J. Flores, Ta...","RETRACTED: Cardiovascular and Self-Regul..."
"183","disab","fritz-et-al-2017-humor-use-moderates-the-relation-of-stressful-life-events-with-psychological-distress.pdf",2,"Heidi L. Fritz, Lesl...","Humor Use Moderates the Relation of Stre..."
"184","disab","fritz-et-al-2017-humor-use-moderates-the-relation-of-stressful-life-events-with-psychological-distress.pdf",14,"Heidi L. Fritz, Lesl...","Humor Use Moderates the Relation of Stre..."
"185","debilit","fritz-et-al-2017-humor-use-moderates-the-relation-of-stressful-life-events-with-psychological-distress.pdf",2,"Heidi L. Fritz, Lesl...","Humor Use Moderates the Relation of Stre..."
"186","debilit","fritz-et-al-2017-humor-use-moderates-the-relation-of-stressful-life-events-with-psychological-distress.pdf",4,"Heidi L. Fritz, Lesl...","Humor Use Moderates the Relation of Stre..."
"187","debilit","fritz-et-al-2017-humor-use-moderates-the-relation-of-stressful-life-events-with-psychological-distress.pdf",5,"Heidi L. Fritz, Lesl...","Humor Use Moderates the Relation of Stre..."
"188","deficien","fritz-et-al-2017-humor-use-moderates-the-relation-of-stressful-life-events-with-psychological-distress.pdf",13,"Heidi L. Fritz, Lesl...","Humor Use Moderates the Relation of Stre..."
"189","Chronic illness","fritz-et-al-2017-humor-use-moderates-the-relation-of-stressful-life-events-with-psychological-distress.pdf",13,"Heidi L. Fritz, Lesl...","Humor Use Moderates the Relation of Stre..."
"190","Syndrome","fritz-et-al-2017-humor-use-moderates-the-relation-of-stressful-life-events-with-psychological-distress.pdf",1,"Heidi L. Fritz, Lesl...","Humor Use Moderates the Relation of Stre..."
"191","Syndrome","fritz-et-al-2017-humor-use-moderates-the-relation-of-stressful-life-events-with-psychological-distress.pdf",2,"Heidi L. Fritz, Lesl...","Humor Use Moderates the Relation of Stre..."
"192","Syndrome","fritz-et-al-2017-humor-use-moderates-the-relation-of-stressful-life-events-with-psychological-distress.pdf",3,"Heidi L. Fritz, Lesl...","Humor Use Moderates the Relation of Stre..."
"193","Syndrome","fritz-et-al-2017-humor-use-moderates-the-relation-of-stressful-life-events-with-psychological-distress.pdf",14,"Heidi L. Fritz, Lesl...","Humor Use Moderates the Relation of Stre..."
"194","person-first","fritzlen-et-al-2019-i-know-what-you-are-but-what-am-i-the-effect-of-recategorization-threat-and-perceived-immutability.pdf",12,"Katherine A. Fritzle...","I Know (What) You Are, But What Am I? Th..."
"195","person-first","fritzlen-et-al-2019-i-know-what-you-are-but-what-am-i-the-effect-of-recategorization-threat-and-perceived-immutability.pdf",13,"Katherine A. Fritzle...","I Know (What) You Are, But What Am I? Th..."
"196","deficien","fritzlen-et-al-2019-i-know-what-you-are-but-what-am-i-the-effect-of-recategorization-threat-and-perceived-immutability.pdf",13,"Katherine A. Fritzle...","I Know (What) You Are, But What Am I? Th..."
"197","deficien","fuesting-diekman-2016-not-by-success-alone-role-models-provide-pathways-to-communal-opportunities-in-stem.pdf",12,"Melissa A. Fuesting ...","Not By Success Alone"
"198","Barrier-free","gamarel-golub-2018-closeness-discrepancies-and-intimacy-interference-motivations-for-hiv-prevention-behavior-in-primary.pdf",3,"Kristi E. Gamarel an...","Closeness Discrepancies and Intimacy Int..."
"199","deficien","gamarel-golub-2018-closeness-discrepancies-and-intimacy-interference-motivations-for-hiv-prevention-behavior-in-primary.pdf",13,"Kristi E. Gamarel an...","Closeness Discrepancies and Intimacy Int..."
"200","Syndrome","gamarel-golub-2018-closeness-discrepancies-and-intimacy-interference-motivations-for-hiv-prevention-behavior-in-primary.pdf",13,"Kristi E. Gamarel an...","Closeness Discrepancies and Intimacy Int..."
"201","Syndrome","gamp-et-al-2018-risk-perceptions-after-receiving-multiple-risk-feedback.pdf",4,"Martina Gamp, Harald...","Risk Perceptions After Receiving Multipl..."
"202","Syndrome","gamp-et-al-2018-risk-perceptions-after-receiving-multiple-risk-feedback.pdf",10,"Martina Gamp, Harald...","Risk Perceptions After Receiving Multipl..."
"203","Syndrome","gamp-et-al-2018-risk-perceptions-after-receiving-multiple-risk-feedback.pdf",11,"Martina Gamp, Harald...","Risk Perceptions After Receiving Multipl..."
"204","Syndrome","gamp-et-al-2018-risk-perceptions-after-receiving-multiple-risk-feedback.pdf",12,"Martina Gamp, Harald...","Risk Perceptions After Receiving Multipl..."
"205","accessib","gan-et-al-2018-the-power-in-being-yourself-feeling-authentic-enhances-the-sense-of-power.pdf",2,"Muping Gan, Daniel H...","The Power in Being Yourself: Feeling Aut..."
"206","disab","ganzach-yaor-2018-the-retrospective-evaluation-of-positive-and-negative-affect.pdf",11,"Yoav Ganzach and Ein...","The Retrospective Evaluation of Positive..."
"207","accessib","ganzach-yaor-2018-the-retrospective-evaluation-of-positive-and-negative-affect.pdf",3,"Yoav Ganzach and Ein...","The Retrospective Evaluation of Positive..."
"208","accessib","ganzach-yaor-2018-the-retrospective-evaluation-of-positive-and-negative-affect.pdf",11,"Yoav Ganzach and Ein...","The Retrospective Evaluation of Positive..."
"209","disab","garcia-sanchez-et-al-2021-how-fair-is-economic-inequality-belief-in-a-just-world-and-the-legitimation-of-economic.pdf",2,"Efraín García-Sánche...","How Fair is Economic Inequality? Belief ..."
"210","afflict","garinther-et-al-2021-victim-number-effects-in-charitable-giving-joint-evaluations-promote-egalitarian-decisions.pdf",1,"Alexander Garinther,...","Victim Number Effects in Charitable Givi..."
"211","accessib","gasco-et-al-2018-where-did-this-thought-come-from-a-self-validation-analysis-of-the-perceived-origin-of-thoughts.pdf",12,"Margarita Gascó, Pab...","Where Did This Thought Come From? A Self..."
"212","Impairment","gawronski-2021-attitudinal-effects-of-stimulus-co-occurrence-and-stimulus-relations-paradoxical-effects-of-cognitive.pdf",9,"Bertram Gawronski","Attitudinal Effects of Stimulus Co-occur..."
"213","Impairment","gawronski-2021-attitudinal-effects-of-stimulus-co-occurrence-and-stimulus-relations-paradoxical-effects-of-cognitive.pdf",10,"Bertram Gawronski","Attitudinal Effects of Stimulus Co-occur..."
"214","Impairment","gawronski-2021-attitudinal-effects-of-stimulus-co-occurrence-and-stimulus-relations-paradoxical-effects-of-cognitive.pdf",11,"Bertram Gawronski","Attitudinal Effects of Stimulus Co-occur..."
"215","accessib","gawronski-et-al-2017-temporal-stability-of-implicit-and-explicit-measures-a-longitudinal-analysis.pdf",13,"Bertram Gawronski, M...","Temporal Stability of Implicit and Expli..."
"216","Impairment","ghassemi-et-al-2017-the-process-of-disengagement-from-personal-goals-reciprocal-influences-between-the-experience-of.pdf",2,"Mirjam Ghassemi, Kat...","The Process of Disengagement From Person..."
"217","accessib","gillath-et-al-2017-a-net-of-friends-investigating-friendship-by-integrating-attachment-theory-and-social-network.pdf",19,"Omri Gillath, Gery C...","A Net of Friends: Investigating Friendsh..."
"218","disab","grigoryan-et-al-2019-stereotypes-as-historical-accidents-images-of-social-class-in-postcommunist-versus-capitalist.pdf",7,"Lusine Grigoryan, Xu...","Stereotypes as Historical Accidents: Ima..."
"219","accessib","grigoryan-et-al-2019-stereotypes-as-historical-accidents-images-of-social-class-in-postcommunist-versus-capitalist.pdf",3,"Lusine Grigoryan, Xu...","Stereotypes as Historical Accidents: Ima..."
"220","sickl","grigoryan-et-al-2019-stereotypes-as-historical-accidents-images-of-social-class-in-postcommunist-versus-capitalist.pdf",3,"Lusine Grigoryan, Xu...","Stereotypes as Historical Accidents: Ima..."
"221","accessib","grillo-pizzutti-2020-recognizing-and-trusting-persuasion-agents-attitudes-bias-trustworthiness-judgments-but-not.pdf",2,"Tito L. H. Grillo an...","Recognizing and Trusting Persuasion Agen..."
"222","accessib","grillo-pizzutti-2020-recognizing-and-trusting-persuasion-agents-attitudes-bias-trustworthiness-judgments-but-not.pdf",13,"Tito L. H. Grillo an...","Recognizing and Trusting Persuasion Agen..."
"223","Dysfunction","gruda-kafetsios-2019-attachment-orientations-guide-the-transfer-of-leadership-judgments-culture-matters.pdf",21,"Dritjon Gruda and Ko...","Attachment Orientations Guide the Transf..."
"224","accessib","gruda-kafetsios-2019-attachment-orientations-guide-the-transfer-of-leadership-judgments-culture-matters.pdf",2,"Dritjon Gruda and Ko...","Attachment Orientations Guide the Transf..."
"225","accessib","gruda-kafetsios-2019-attachment-orientations-guide-the-transfer-of-leadership-judgments-culture-matters.pdf",3,"Dritjon Gruda and Ko...","Attachment Orientations Guide the Transf..."
"226","accessib","gruda-kafetsios-2019-attachment-orientations-guide-the-transfer-of-leadership-judgments-culture-matters.pdf",20,"Dritjon Gruda and Ko...","Attachment Orientations Guide the Transf..."
"227","accessib","guglielmo-malle-2017-information-acquisition-processes-in-moral-judgments-of-blame.pdf",9,"Steve Guglielmo and ...","Information-Acquisition Processes in Mor..."
"228","\blame","gul-kupfer-2018-benevolent-sexism-and-mate-preferences-why-do-women-prefer-benevolent-men-despite-recognizing-that-they.pdf",15,"Pelin Gul and Tom R....","Benevolent Sexism and Mate Preferences: ..."
"229","disab","gul-uskul-2020-an-alternative-account-of-anti-effeminacy-bias-reputation-concerns-and-lack-of-coalitional-value-explain.pdf",2,"Pelin Gul and Ayse K...","An Alternative Account of Anti-Effeminac..."
"230","disab","gul-uskul-2020-an-alternative-account-of-anti-effeminacy-bias-reputation-concerns-and-lack-of-coalitional-value-explain.pdf",25,"Pelin Gul and Ayse K...","An Alternative Account of Anti-Effeminac..."
"231","Impairment","hadar-et-al-2019-induced-social-power-improves-visual-working-memory.pdf",11,"Britt Hadar, Roy Lur...","Induced Social Power Improves Visual Wor..."
"232","deficien","hadar-et-al-2019-induced-social-power-improves-visual-working-memory.pdf",4,"Britt Hadar, Roy Lur...","Induced Social Power Improves Visual Wor..."
"233","deficien","hadar-et-al-2019-induced-social-power-improves-visual-working-memory.pdf",7,"Britt Hadar, Roy Lur...","Induced Social Power Improves Visual Wor..."
"234","Syndrome","hadar-et-al-2019-induced-social-power-improves-visual-working-memory.pdf",13,"Britt Hadar, Roy Lur...","Induced Social Power Improves Visual Wor..."
"235","disab","hehman-et-al-2017-the-faces-of-group-members-share-physical-resemblance.pdf",2,"Eric Hehman, Jessica...","The Faces of Group Members Share Physica..."
"236","Impairment","heintzelman-king-2018-routines-and-meaning-in-life.pdf",10,"Samantha J. Heintzel...","Routines and Meaning in Life"
"237","deficien","heu-et-al-2018-lonely-alone-or-lonely-together-a-cultural-psychological-examination-of-individualism-collectivism-and.pdf",3,"Luzia C. Heu, Martij...","Lonely Alone or Lonely Together? A Cultu..."
"238","\blame","higginbotham-et-al-2021-you-play-a-sport-right-a-persistent-and-pernicious-intersectional-bias-in-categorization-of.pdf",15,"Gerald D. Higginboth...","You Play a Sport, Right? A Persistent an..."
"239","accessib","higginbotham-et-al-2021-you-play-a-sport-right-a-persistent-and-pernicious-intersectional-bias-in-categorization-of.pdf",2,"Gerald D. Higginboth...","You Play a Sport, Right? A Persistent an..."
"240","accessib","higginbotham-et-al-2021-you-play-a-sport-right-a-persistent-and-pernicious-intersectional-bias-in-categorization-of.pdf",3,"Gerald D. Higginboth...","You Play a Sport, Right? A Persistent an..."
"241","accessib","higginbotham-et-al-2021-you-play-a-sport-right-a-persistent-and-pernicious-intersectional-bias-in-categorization-of.pdf",14,"Gerald D. Higginboth...","You Play a Sport, Right? A Persistent an..."
"242","disab","hirschberger-et-al-2017-the-existential-underpinnings-of-intergroup-helping-when-normative-and-defensive-motivations.pdf",2,"Gilad Hirschberger, ...","The Existential Underpinnings of Intergr..."
"243","disab","hirschberger-et-al-2017-the-existential-underpinnings-of-intergroup-helping-when-normative-and-defensive-motivations.pdf",13,"Gilad Hirschberger, ...","The Existential Underpinnings of Intergr..."
"244","afflict","hirschberger-et-al-2017-the-existential-underpinnings-of-intergroup-helping-when-normative-and-defensive-motivations.pdf",14,"Gilad Hirschberger, ...","The Existential Underpinnings of Intergr..."
"245","Impairment","hisler-et-al-2018-does-stress-explain-the-effect-of-sleep-on-self-control-difficulties-a-month-long-daily-diary-study.pdf",13,"Garrett C. Hisler, Z...","Does Stress Explain the Effect of Sleep ..."
"246","Impairment","hisler-et-al-2018-does-stress-explain-the-effect-of-sleep-on-self-control-difficulties-a-month-long-daily-diary-study.pdf",14,"Garrett C. Hisler, Z...","Does Stress Explain the Effect of Sleep ..."
"247","incapac","hofmann-et-al-2018-moral-punishment-in-everyday-life.pdf",13,"Wilhelm Hofmann, Mar...","Moral Punishment in Everyday Life"
"248","Defect","hofmann-et-al-2018-moral-punishment-in-everyday-life.pdf",12,"Wilhelm Hofmann, Mar...","Moral Punishment in Everyday Life"
"249","accessib","hogden-unkelbach-2020-the-role-of-relational-qualifiers-in-attribute-conditioning-does-disliking-an-athletic-person.pdf",13,"Fabia Högden and Chr...","The Role of Relational Qualifiers in Att..."
"250","accessib","hogden-unkelbach-2020-the-role-of-relational-qualifiers-in-attribute-conditioning-does-disliking-an-athletic-person.pdf",14,"Fabia Högden and Chr...","The Role of Relational Qualifiers in Att..."
"251","disab","hou-et-al-2021-do-grittier-people-have-greater-subjective-well-being-a-meta-analysis.pdf",1,"Xiang-Ling Hou, Nico...","Do Grittier People Have Greater Subjecti..."
"252","disab","hou-et-al-2021-do-grittier-people-have-greater-subjective-well-being-a-meta-analysis.pdf",2,"Xiang-Ling Hou, Nico...","Do Grittier People Have Greater Subjecti..."
"253","disab","hou-et-al-2021-do-grittier-people-have-greater-subjective-well-being-a-meta-analysis.pdf",3,"Xiang-Ling Hou, Nico...","Do Grittier People Have Greater Subjecti..."
"254","disab","hou-et-al-2021-do-grittier-people-have-greater-subjective-well-being-a-meta-analysis.pdf",5,"Xiang-Ling Hou, Nico...","Do Grittier People Have Greater Subjecti..."
"255","disab","hou-et-al-2021-do-grittier-people-have-greater-subjective-well-being-a-meta-analysis.pdf",8,"Xiang-Ling Hou, Nico...","Do Grittier People Have Greater Subjecti..."
"256","disab","hou-et-al-2021-do-grittier-people-have-greater-subjective-well-being-a-meta-analysis.pdf",11,"Xiang-Ling Hou, Nico...","Do Grittier People Have Greater Subjecti..."
"257","disab","hou-et-al-2021-do-grittier-people-have-greater-subjective-well-being-a-meta-analysis.pdf",12,"Xiang-Ling Hou, Nico...","Do Grittier People Have Greater Subjecti..."
"258","wheelchair","hou-et-al-2021-do-grittier-people-have-greater-subjective-well-being-a-meta-analysis.pdf",13,"Xiang-Ling Hou, Nico...","Do Grittier People Have Greater Subjecti..."
"259","Ailment","hou-et-al-2021-do-grittier-people-have-greater-subjective-well-being-a-meta-analysis.pdf",11,"Xiang-Ling Hou, Nico...","Do Grittier People Have Greater Subjecti..."
"260","accessib","huang-2019-mind-body-dissonance-a-catalyst-to-creativity.pdf",14,"Li Huang","MindBody Dissonance: A Catalyst to Crea..."
"261","disab","hudson-et-al-2019-healthier-and-happier-a-3-year-longitudinal-investigation-of-the-prospective-associations-and.pdf",2,"Nathan W. Hudson, Ri...","Healthier and Happier? A 3-Year Longitud..."
"262","disab","hudson-et-al-2019-healthier-and-happier-a-3-year-longitudinal-investigation-of-the-prospective-associations-and.pdf",15,"Nathan W. Hudson, Ri...","Healthier and Happier? A 3-Year Longitud..."
"263","disab","hudson-et-al-2019-healthier-and-happier-a-3-year-longitudinal-investigation-of-the-prospective-associations-and.pdf",16,"Nathan W. Hudson, Ri...","Healthier and Happier? A 3-Year Longitud..."
"264","accessib","hudson-et-al-2019-healthier-and-happier-a-3-year-longitudinal-investigation-of-the-prospective-associations-and.pdf",16,"Nathan W. Hudson, Ri...","Healthier and Happier? A 3-Year Longitud..."
"265","accessib","hudson-et-al-2019-the-highs-and-lows-of-love-romantic-relationship-quality-moderates-whether-spending-time-with-one-s.pdf",18,"Nathan W. Hudson, Ri...","The Highs and Lows of Love: Romantic Rel..."
"266","Dysfunction","huelsnitz-et-al-2018-attachment-and-jealousy-understanding-the-dynamic-experience-of-jealousy-using-the-response.pdf",12,"Chloe O. Huelsnitz, ...","Attachment and Jealousy: Understanding t..."
"267","Dysfunction","huelsnitz-et-al-2018-attachment-and-jealousy-understanding-the-dynamic-experience-of-jealousy-using-the-response.pdf",17,"Chloe O. Huelsnitz, ...","Attachment and Jealousy: Understanding t..."
"268","Dysfunction","hughes-scholer-2017-when-wanting-the-best-goes-right-or-wrong-distinguishing-between-adaptive-and-maladaptive.pdf",14,"Jeffrey Hughes and A...","When Wanting the Best Goes Right or Wron..."
"269","Dysfunction","iida-et-al-2017-the-influence-of-daily-coping-on-anxiety-under-examination-stress-a-model-of-interindividual.pdf",4,"Masumi Iida, Marci G...","The Influence of Daily Coping on Anxiety..."
"270","Dysfunction","iida-et-al-2017-the-influence-of-daily-coping-on-anxiety-under-examination-stress-a-model-of-interindividual.pdf",13,"Masumi Iida, Marci G...","The Influence of Daily Coping on Anxiety..."
"271","debilit","iida-et-al-2017-the-influence-of-daily-coping-on-anxiety-under-examination-stress-a-model-of-interindividual.pdf",17,"Masumi Iida, Marci G...","The Influence of Daily Coping on Anxiety..."
"272","accessib","iida-et-al-2017-the-influence-of-daily-coping-on-anxiety-under-examination-stress-a-model-of-interindividual.pdf",12,"Masumi Iida, Marci G...","The Influence of Daily Coping on Anxiety..."
"273","Syndrome","imami-et-al-2018-self-disclosure-and-perceived-responsiveness-among-youth-with-asthma-links-to-affect-and-anti.pdf",14,"Ledina Imami, Sarah ...","Self-Disclosure and Perceived Responsive..."
"274","afflict","imhoff-et-al-2018-using-power-as-a-negative-cue-how-conspiracy-mentality-affects-epistemic-trust-in-sources-of.pdf",14,"Roland Imhoff, Pia L...","Using Power as a Negative Cue: How Consp..."
"275","Dysfunction","irwing-et-al-2019-comedians-trait-level-and-stage-personalities-evidence-for-goal-directed-personality-adaptation.pdf",9,"Paul Irwing, Clare C...","Comedians Trait Level and Stage Persona..."
"276","Dysfunction","irwing-et-al-2019-comedians-trait-level-and-stage-personalities-evidence-for-goal-directed-personality-adaptation.pdf",11,"Paul Irwing, Clare C...","Comedians Trait Level and Stage Persona..."
"277","deficien","irwing-et-al-2019-comedians-trait-level-and-stage-personalities-evidence-for-goal-directed-personality-adaptation.pdf",7,"Paul Irwing, Clare C...","Comedians Trait Level and Stage Persona..."
"278","Dysfunction","iterbeke-de-witte-2021-helpful-or-harmful-the-role-of-personality-traits-in-student-experiences-of-the-covid-19-crisis.pdf",19,"Kaat Iterbeke and Kr...","Helpful or Harmful? The Role of Personal..."
"279","accessib","itzchakov-reis-2020-perceived-responsiveness-increases-tolerance-of-attitude-ambivalence-and-enhances-intentions-to.pdf",1,"Guy Itzchakov and Ha...","Perceived Responsiveness Increases Toler..."
"280","accessib","itzchakov-reis-2020-perceived-responsiveness-increases-tolerance-of-attitude-ambivalence-and-enhances-intentions-to.pdf",2,"Guy Itzchakov and Ha...","Perceived Responsiveness Increases Toler..."
"281","accessib","itzchakov-reis-2020-perceived-responsiveness-increases-tolerance-of-attitude-ambivalence-and-enhances-intentions-to.pdf",3,"Guy Itzchakov and Ha...","Perceived Responsiveness Increases Toler..."
"282","accessib","itzchakov-reis-2020-perceived-responsiveness-increases-tolerance-of-attitude-ambivalence-and-enhances-intentions-to.pdf",4,"Guy Itzchakov and Ha...","Perceived Responsiveness Increases Toler..."
"283","accessib","itzchakov-reis-2020-perceived-responsiveness-increases-tolerance-of-attitude-ambivalence-and-enhances-intentions-to.pdf",5,"Guy Itzchakov and Ha...","Perceived Responsiveness Increases Toler..."
"284","accessib","itzchakov-reis-2020-perceived-responsiveness-increases-tolerance-of-attitude-ambivalence-and-enhances-intentions-to.pdf",6,"Guy Itzchakov and Ha...","Perceived Responsiveness Increases Toler..."
"285","accessib","itzchakov-reis-2020-perceived-responsiveness-increases-tolerance-of-attitude-ambivalence-and-enhances-intentions-to.pdf",7,"Guy Itzchakov and Ha...","Perceived Responsiveness Increases Toler..."
"286","accessib","itzchakov-reis-2020-perceived-responsiveness-increases-tolerance-of-attitude-ambivalence-and-enhances-intentions-to.pdf",8,"Guy Itzchakov and Ha...","Perceived Responsiveness Increases Toler..."
"287","accessib","itzchakov-reis-2020-perceived-responsiveness-increases-tolerance-of-attitude-ambivalence-and-enhances-intentions-to.pdf",9,"Guy Itzchakov and Ha...","Perceived Responsiveness Increases Toler..."
"288","accessib","itzchakov-reis-2020-perceived-responsiveness-increases-tolerance-of-attitude-ambivalence-and-enhances-intentions-to.pdf",10,"Guy Itzchakov and Ha...","Perceived Responsiveness Increases Toler..."
"289","accessib","itzchakov-reis-2020-perceived-responsiveness-increases-tolerance-of-attitude-ambivalence-and-enhances-intentions-to.pdf",11,"Guy Itzchakov and Ha...","Perceived Responsiveness Increases Toler..."
"290","accessib","itzchakov-reis-2020-perceived-responsiveness-increases-tolerance-of-attitude-ambivalence-and-enhances-intentions-to.pdf",12,"Guy Itzchakov and Ha...","Perceived Responsiveness Increases Toler..."
"291","accessib","itzchakov-reis-2020-perceived-responsiveness-increases-tolerance-of-attitude-ambivalence-and-enhances-intentions-to.pdf",14,"Guy Itzchakov and Ha...","Perceived Responsiveness Increases Toler..."
