term,doi,page,author,title
\babled,hehman-et-al-2020-using-environmental-features-to-maximize-prediction-of-regional-intergroup-bias.pdf,6,"Eric Hehman, Eugene ...",Using Environmental Features to Maximize...
\babled,hehman-et-al-2020-using-environmental-features-to-maximize-prediction-of-regional-intergroup-bias.pdf,7,"Eric Hehman, Eugene ...",Using Environmental Features to Maximize...
accessib,hennecke-converse-2017-next-week-next-month-next-year-how-perceived-temporal-boundaries-affect-initiation-expectations.pdf,2,Marie Hennecke and B...,"Next Week, Next Month, Next Year"
accessib,hennecke-converse-2017-next-week-next-month-next-year-how-perceived-temporal-boundaries-affect-initiation-expectations.pdf,4,Marie Hennecke and B...,"Next Week, Next Month, Next Year"
accessib,hennecke-converse-2017-next-week-next-month-next-year-how-perceived-temporal-boundaries-affect-initiation-expectations.pdf,5,Marie Hennecke and B...,"Next Week, Next Month, Next Year"
accessib,hennecke-converse-2017-next-week-next-month-next-year-how-perceived-temporal-boundaries-affect-initiation-expectations.pdf,6,Marie Hennecke and B...,"Next Week, Next Month, Next Year"
accessib,hennecke-converse-2017-next-week-next-month-next-year-how-perceived-temporal-boundaries-affect-initiation-expectations.pdf,7,Marie Hennecke and B...,"Next Week, Next Month, Next Year"
accessib,hennecke-converse-2017-next-week-next-month-next-year-how-perceived-temporal-boundaries-affect-initiation-expectations.pdf,8,Marie Hennecke and B...,"Next Week, Next Month, Next Year"
accessib,hoover-et-al-2020-moral-foundations-twitter-corpus-a-collection-of-35k-tweets-annotated-for-moral-sentiment.pdf,1,"Joe Hoover, Gwenyth ...",Moral Foundations Twitter Corpus: A Coll...
disab,hudson-et-al-2016-day-to-day-affect-is-surprisingly-stable-a-2-year-longitudinal-study-of-well-being.pdf,2,"Nathan W. Hudson, Ri...",Day-To-Day Affect is Surprisingly Stable
disab,hudson-et-al-2016-day-to-day-affect-is-surprisingly-stable-a-2-year-longitudinal-study-of-well-being.pdf,9,"Nathan W. Hudson, Ri...",Day-To-Day Affect is Surprisingly Stable
accessib,hudson-et-al-2016-day-to-day-affect-is-surprisingly-stable-a-2-year-longitudinal-study-of-well-being.pdf,9,"Nathan W. Hudson, Ri...",Day-To-Day Affect is Surprisingly Stable
Syndrome,huynh-grossmann-2020-rising-ethnic-diversity-in-the-united-states-accompanies-shifts-toward-an-individualistic-culture.pdf,10,Alex C. Huynh and Ig...,Rising Ethnic Diversity in the United St...
accessib,iankilevitch-et-al-2019-how-do-multiracial-and-monoracial-people-categorize-multiracial-faces.pdf,2,"Maria Iankilevitch, ...",How Do Multiracial and Monoracial People...
accessib,iankilevitch-et-al-2019-how-do-multiracial-and-monoracial-people-categorize-multiracial-faces.pdf,6,"Maria Iankilevitch, ...",How Do Multiracial and Monoracial People...
deficien,imhoff-et-al-2020-resolving-the-puzzle-of-conspiracy-worldview-and-political-activism-belief-in-secret-plots-decreases.pdf,4,"Roland Imhoff, Lea D...",Resolving the Puzzle of Conspiracy World...
deficien,imhoff-lamberty-2020-a-bioweapon-or-a-hoax-the-link-between-distinct-conspiracy-beliefs-about-the-coronavirus-disease.pdf,8,Roland Imhoff and Pi...,A Bioweapon or a Hoax? The Link Between ...
Syndrome,imhoff-lamberty-2020-a-bioweapon-or-a-hoax-the-link-between-distinct-conspiracy-beliefs-about-the-coronavirus-disease.pdf,8,Roland Imhoff and Pi...,A Bioweapon or a Hoax? The Link Between ...
accessib,jabold-2019-stereotype-formation-but-no-dissociation-contradicting-statistics-reduce-explicit-and-implicit-stereotypes.pdf,8,Philipp Jabold,Stereotype Formation but No Dissociation...
accessib,jachimowicz-et-al-2022-the-sharp-spikes-of-poverty-financial-scarcity-is-related-to-higher-levels-of-distress-intensity.pdf,10,"Jon M. Jachimowicz, ...",The Sharp Spikes of Poverty: Financial S...
accessib,jackson-et-al-2017-agent-based-modeling-a-guide-for-social-psychologists.pdf,2,Joshua Conrad Jackso...,Agent-Based Modeling
accessib,jackson-et-al-2017-agent-based-modeling-a-guide-for-social-psychologists.pdf,5,Joshua Conrad Jackso...,Agent-Based Modeling
Defect,jackson-et-al-2017-agent-based-modeling-a-guide-for-social-psychologists.pdf,3,Joshua Conrad Jackso...,Agent-Based Modeling
Defect,jackson-et-al-2017-agent-based-modeling-a-guide-for-social-psychologists.pdf,6,Joshua Conrad Jackso...,Agent-Based Modeling
Defect,jackson-et-al-2017-agent-based-modeling-a-guide-for-social-psychologists.pdf,7,Joshua Conrad Jackso...,Agent-Based Modeling
accessib,jackson-et-al-2017-strangers-in-a-stadium-studying-group-dynamics-with-in-vivo-behavioral-tracking.pdf,1,Joshua Conrad Jackso...,Strangers in a Stadium
Defect,jackson-et-al-2017-strangers-in-a-stadium-studying-group-dynamics-with-in-vivo-behavioral-tracking.pdf,7,Joshua Conrad Jackso...,Strangers in a Stadium
deficien,jackson-et-al-2017-strangers-in-a-stadium-studying-group-dynamics-with-in-vivo-behavioral-tracking.pdf,1,Joshua Conrad Jackso...,Strangers in a Stadium
deficien,jackson-et-al-2017-strangers-in-a-stadium-studying-group-dynamics-with-in-vivo-behavioral-tracking.pdf,8,Joshua Conrad Jackso...,Strangers in a Stadium
accessib,jackson-payne-2020-cognitive-barriers-to-reducing-income-inequality.pdf,2,Joshua Conrad Jackso...,Cognitive Barriers to Reducing Income In...
maim,jacobson-et-al-2020-guilt-enhances-the-persuasive-effects-of-injunctive-but-not-descriptive-social-norms.pdf,9,"Ryan P. Jacobson, Ka...",Guilt Enhances the Persuasive Effects of...
accessib,janke-et-al-2018-dark-pathways-to-achievement-in-science-researchers-achievement-goals-predict-engagement-in.pdf,6,"Stefan Janke, Martin...",Dark Pathways to Achievement in Science:...
Dysfunction,jayamaha-overall-2018-the-dyadic-nature-of-self-evaluations-self-esteem-and-efficacy-shape-and-are-shaped-by-support.pdf,13,Shanuki D. Jayamaha ...,The Dyadic Nature of Self-Evaluations: S...
Impairment,jayawickreme-et-al-2021-examining-associations-between-major-negative-life-events-changes-in-weekly-reports-of-post.pdf,10,"Eranda Jayawickreme,...",Examining Associations Between Major Neg...
disab,ji-et-al-2020-cultural-differences-in-the-construal-of-suffering-and-the-covid-19-pandemic.pdf,3,"Li-Jun Ji, Mark Khei...",Cultural Differences in the Construal of...
disab,ji-et-al-2020-cultural-differences-in-the-construal-of-suffering-and-the-covid-19-pandemic.pdf,6,"Li-Jun Ji, Mark Khei...",Cultural Differences in the Construal of...
Dysfunction,ji-et-al-2020-cultural-differences-in-the-construal-of-suffering-and-the-covid-19-pandemic.pdf,7,"Li-Jun Ji, Mark Khei...",Cultural Differences in the Construal of...
Syndrome,ji-et-al-2020-cultural-differences-in-the-construal-of-suffering-and-the-covid-19-pandemic.pdf,7,"Li-Jun Ji, Mark Khei...",Cultural Differences in the Construal of...
Syndrome,ji-et-al-2020-cultural-differences-in-the-construal-of-suffering-and-the-covid-19-pandemic.pdf,8,"Li-Jun Ji, Mark Khei...",Cultural Differences in the Construal of...
accessib,johnson-chopik-2018-geographic-variation-in-the-black-violence-stereotype.pdf,6,David J. Johnson and...,Geographic Variation in the Black-Violen...
Dysfunction,johnson-et-al-2017-advancing-research-on-cognitive-processes-in-social-and-personality-psychology-a-hierarchical-drift.pdf,9,"David J. Johnson, Ch...",Advancing Research on Cognitive Processe...
Dysfunction,jordan-et-al-2022-do-women-withhold-honest-sexual-communication-when-they-believe-their-partner-s-manhood-is-threatened.pdf,2,"Jessica A. Jordan, J...",Do Women Withhold Honest Sexual Communic...
disab,kende-et-al-2017-equality-revisited-a-cultural-meta-analysis-of-intergroup-contact-and-prejudice.pdf,4,"Judit Kende, Karen P...",Equality Revisited: A Cultural Meta-Anal...
accessib,kerry-murray-2019-politics-and-parental-care-experimental-and-mediational-tests-of-the-causal-link-between-parenting.pdf,2,Nicholas Kerry and D...,Politics and Parental Care: Experimental...
accessib,khatry-et-al-2020-socioeconomic-status-and-dehumanization-in-india-elaboration-of-the-stereotype-content-model-in-a-non.pdf,5,"Priyanka Khatry, Kun...",Socioeconomic Status and Dehumanization ...
Syndrome,kidd-castano-2018-reading-literary-fiction-and-theory-of-mind-three-preregistered-replications-and-extensions-of-kidd.pdf,9,David Kidd and Emanu...,Reading Literary Fiction and Theory of M...
accessib,kim-et-al-2017-existential-ennui-examining-the-reciprocal-relationship-between-self-alienation-and-academic-amotivation.pdf,7,"Jinhyung Kim, Andrew...",Existential Ennui
accessib,kim-et-al-2017-existential-ennui-examining-the-reciprocal-relationship-between-self-alienation-and-academic-amotivation.pdf,9,"Jinhyung Kim, Andrew...",Existential Ennui
Dysfunction,kim-et-al-2020-are-couples-more-satisfied-when-they-match-in-sexual-desire-new-insights-from-response-surface-analyses.pdf,9,"James J. Kim, Amy Mu...",Are Couples More Satisfied When They Mat...
Dysfunction,kim-et-al-2021-the-role-of-coping-strategies-in-maintaining-well-being-during-the-covid-19-outbreak-in-south-korea.pdf,2,"Joo Hyun Kim, Yerin ...",The Role of Coping Strategies in Maintai...
Syndrome,kim-et-al-2021-the-role-of-coping-strategies-in-maintaining-well-being-during-the-covid-19-outbreak-in-south-korea.pdf,1,"Joo Hyun Kim, Yerin ...",The Role of Coping Strategies in Maintai...
Syndrome,kim-et-al-2021-the-role-of-coping-strategies-in-maintaining-well-being-during-the-covid-19-outbreak-in-south-korea.pdf,12,"Joo Hyun Kim, Yerin ...",The Role of Coping Strategies in Maintai...
Syndrome,kim-et-al-2021-the-role-of-coping-strategies-in-maintaining-well-being-during-the-covid-19-outbreak-in-south-korea.pdf,13,"Joo Hyun Kim, Yerin ...",The Role of Coping Strategies in Maintai...
maim,kirby-et-al-2020-combating-bisexual-erasure-the-correspondence-of-implicit-and-explicit-sexual-identity.pdf,1,"Teri A. Kirby, Sally...",Combating Bisexual Erasure: The Correspo...
maim,kirby-et-al-2020-combating-bisexual-erasure-the-correspondence-of-implicit-and-explicit-sexual-identity.pdf,2,"Teri A. Kirby, Sally...",Combating Bisexual Erasure: The Correspo...
maim,kirby-et-al-2020-combating-bisexual-erasure-the-correspondence-of-implicit-and-explicit-sexual-identity.pdf,9,"Teri A. Kirby, Sally...",Combating Bisexual Erasure: The Correspo...
disab,klebl-et-al-2020-ugliness-judgments-alert-us-to-cues-of-pathogen-presence.pdf,10,"Christoph Klebl, Kat...",Ugliness Judgments Alert us to Cues of P...
disab,klebl-et-al-2020-ugliness-judgments-alert-us-to-cues-of-pathogen-presence.pdf,11,"Christoph Klebl, Kat...",Ugliness Judgments Alert us to Cues of P...
disfigur,klebl-et-al-2020-ugliness-judgments-alert-us-to-cues-of-pathogen-presence.pdf,1,"Christoph Klebl, Kat...",Ugliness Judgments Alert us to Cues of P...
disfigur,klebl-et-al-2020-ugliness-judgments-alert-us-to-cues-of-pathogen-presence.pdf,2,"Christoph Klebl, Kat...",Ugliness Judgments Alert us to Cues of P...
disfigur,klebl-et-al-2020-ugliness-judgments-alert-us-to-cues-of-pathogen-presence.pdf,9,"Christoph Klebl, Kat...",Ugliness Judgments Alert us to Cues of P...
disfigur,klebl-et-al-2020-ugliness-judgments-alert-us-to-cues-of-pathogen-presence.pdf,10,"Christoph Klebl, Kat...",Ugliness Judgments Alert us to Cues of P...
Deform,klebl-et-al-2020-ugliness-judgments-alert-us-to-cues-of-pathogen-presence.pdf,2,"Christoph Klebl, Kat...",Ugliness Judgments Alert us to Cues of P...
Deform,klebl-et-al-2020-ugliness-judgments-alert-us-to-cues-of-pathogen-presence.pdf,10,"Christoph Klebl, Kat...",Ugliness Judgments Alert us to Cues of P...
disab,klein-2020-heroes-perceive-their-own-actions-as-less-heroic-than-other-people-do.pdf,1,Nadav Klein,Heroes Perceive Their Own Actions as Les...
Handicap,korner-et-al-2019-dissecting-dispositionality-distance-increases-stability-of-attribution.pdf,2,"Anita Körner, Sophie...",Dissecting Dispositionality: Distance In...
person-first,krems-neuberg-2021-updating-long-held-assumptions-about-fat-stigma-for-women-body-shape-plays-a-critical-role.pdf,9,Jaimie Arona Krems a...,Updating Long-Held Assumptions About Fat...
person-first,krems-neuberg-2021-updating-long-held-assumptions-about-fat-stigma-for-women-body-shape-plays-a-critical-role.pdf,10,Jaimie Arona Krems a...,Updating Long-Held Assumptions About Fat...
Chronic illness,kroencke-et-al-2020-how-does-substance-use-affect-personality-development-disentangling-between-and-within-person.pdf,11,"Lara Kroencke, Nicla...",How Does Substance Use Affect Personalit...
\blame,kuang-et-al-2020-social-class-and-children-s-prosociality-a-study-in-the-context-of-china-s-dual-urban-rural-structure.pdf,6,"Yi Kuang, Fei Wang, ...",Social Class and Childrens Prosociality...
accessib,kushlev-et-al-2021-subjective-well-being-and-prosociality-around-the-globe-happy-people-give-more-of-their-time-and.pdf,12,"Kostadin Kushlev, Ni...",Subjective Well-Being and Prosociality A...
accessib,ledgerwood-et-al-2018-a-brief-distance-based-intervention-can-increase-intentions-to-follow-evidence-based-guidelines.pdf,1,"Alison Ledgerwood, C...","A Brief, Distance-Based Intervention Can..."
accessib,ledgerwood-et-al-2018-a-brief-distance-based-intervention-can-increase-intentions-to-follow-evidence-based-guidelines.pdf,6,"Alison Ledgerwood, C...","A Brief, Distance-Based Intervention Can..."
Handicap,lee-et-al-2016-understanding-when-parental-praise-leads-to-optimal-child-outcomes-role-of-perceived-praise-accuracy.pdf,2,"Hae In Lee, Young-Ho...",Understanding When Parental Praise Leads...
accessib,li-et-al-2018-efficiency-for-lives-equality-for-everything-else-how-allocation-preference-shifts-across-domains.pdf,4,"Meng Li, Helen A. Co...","Efficiency for Lives, Equality for Every..."
Defect,li-et-al-2018-efficiency-for-lives-equality-for-everything-else-how-allocation-preference-shifts-across-domains.pdf,5,"Meng Li, Helen A. Co...","Efficiency for Lives, Equality for Every..."
disab,lindegaard-et-al-2021-does-danger-level-affect-bystander-intervention-in-real-life-conflicts-evidence-from-cctv-footage.pdf,8,Marie Rosenkrantz Li...,Does Danger Level Affect Bystander Inter...
incapac,lindegaard-et-al-2021-does-danger-level-affect-bystander-intervention-in-real-life-conflicts-evidence-from-cctv-footage.pdf,8,Marie Rosenkrantz Li...,Does Danger Level Affect Bystander Inter...
disab,littman-et-al-2019-community-violence-and-prosociality-experiencing-and-committing-violence-predicts-norm-enforcing.pdf,3,"Rebecca Littman, Suz...",Community Violence and Prosociality: Exp...
disab,littman-et-al-2019-community-violence-and-prosociality-experiencing-and-committing-violence-predicts-norm-enforcing.pdf,4,"Rebecca Littman, Suz...",Community Violence and Prosociality: Exp...
Defect,littman-et-al-2019-community-violence-and-prosociality-experiencing-and-committing-violence-predicts-norm-enforcing.pdf,3,"Rebecca Littman, Suz...",Community Violence and Prosociality: Exp...
accessib,lloyd-et-al-2021-race-deficits-in-pain-detection-medical-providers-and-laypeople-fail-to-accurately-perceive-pain.pdf,2,"E. Paige Lloyd, Audr...",Race Deficits in Pain Detection: Medical...
deficien,lloyd-et-al-2021-race-deficits-in-pain-detection-medical-providers-and-laypeople-fail-to-accurately-perceive-pain.pdf,11,"E. Paige Lloyd, Audr...",Race Deficits in Pain Detection: Medical...
accessib,lobato-et-al-2019-religiosity-predicts-evidentiary-standards.pdf,6,"Emilio J. C. Lobato,...",Religiosity Predicts Evidentiary Standar...
disab,logel-et-al-2020-a-social-belonging-intervention-benefits-higher-weight-students-weight-stability-and-academic.pdf,7,"Christine Logel, Joe...",A Social-Belonging Intervention Benefits...
accessib,lorimer-et-al-2021-from-brexit-to-biden-what-responses-to-national-outcomes-tell-us-about-the-nature-of-relief.pdf,3,"Sara Lorimer, Teresa...",From Brexit to Biden: What Responses to ...
Defect,lozano-2017-the-situational-strength-hypothesis-and-the-measurement-of-personality.pdf,2,José H. Lozano,The Situational Strength Hypothesis and ...
Defect,lozano-2017-the-situational-strength-hypothesis-and-the-measurement-of-personality.pdf,3,José H. Lozano,The Situational Strength Hypothesis and ...
Defect,lozano-2017-the-situational-strength-hypothesis-and-the-measurement-of-personality.pdf,4,José H. Lozano,The Situational Strength Hypothesis and ...
Defect,lozano-2017-the-situational-strength-hypothesis-and-the-measurement-of-personality.pdf,7,José H. Lozano,The Situational Strength Hypothesis and ...
disab,lucas-j-chopik-2020-testing-the-buffering-effect-of-social-relationships-in-a-prospective-study-of-disability-onset.pdf,1,Richard E. Lucas and...,Testing the Buffering Effect of Social R...
disab,lucas-j-chopik-2020-testing-the-buffering-effect-of-social-relationships-in-a-prospective-study-of-disability-onset.pdf,2,Richard E. Lucas and...,Testing the Buffering Effect of Social R...
disab,lucas-j-chopik-2020-testing-the-buffering-effect-of-social-relationships-in-a-prospective-study-of-disability-onset.pdf,3,Richard E. Lucas and...,Testing the Buffering Effect of Social R...
disab,lucas-j-chopik-2020-testing-the-buffering-effect-of-social-relationships-in-a-prospective-study-of-disability-onset.pdf,4,Richard E. Lucas and...,Testing the Buffering Effect of Social R...
disab,lucas-j-chopik-2020-testing-the-buffering-effect-of-social-relationships-in-a-prospective-study-of-disability-onset.pdf,5,Richard E. Lucas and...,Testing the Buffering Effect of Social R...
disab,lucas-j-chopik-2020-testing-the-buffering-effect-of-social-relationships-in-a-prospective-study-of-disability-onset.pdf,6,Richard E. Lucas and...,Testing the Buffering Effect of Social R...
disab,lucas-j-chopik-2020-testing-the-buffering-effect-of-social-relationships-in-a-prospective-study-of-disability-onset.pdf,7,Richard E. Lucas and...,Testing the Buffering Effect of Social R...
disab,lucas-j-chopik-2020-testing-the-buffering-effect-of-social-relationships-in-a-prospective-study-of-disability-onset.pdf,8,Richard E. Lucas and...,Testing the Buffering Effect of Social R...
disab,lucas-j-chopik-2020-testing-the-buffering-effect-of-social-relationships-in-a-prospective-study-of-disability-onset.pdf,9,Richard E. Lucas and...,Testing the Buffering Effect of Social R...
Impairment,lucas-j-chopik-2020-testing-the-buffering-effect-of-social-relationships-in-a-prospective-study-of-disability-onset.pdf,2,Richard E. Lucas and...,Testing the Buffering Effect of Social R...
Impairment,lucas-j-chopik-2020-testing-the-buffering-effect-of-social-relationships-in-a-prospective-study-of-disability-onset.pdf,3,Richard E. Lucas and...,Testing the Buffering Effect of Social R...
Impairment,lucas-j-chopik-2020-testing-the-buffering-effect-of-social-relationships-in-a-prospective-study-of-disability-onset.pdf,8,Richard E. Lucas and...,Testing the Buffering Effect of Social R...
functional limitation,lucas-j-chopik-2020-testing-the-buffering-effect-of-social-relationships-in-a-prospective-study-of-disability-onset.pdf,8,Richard E. Lucas and...,Testing the Buffering Effect of Social R...
Syndrome,lukaszewski-et-al-2017-what-explains-personality-covariation-a-test-of-the-socioecological-complexity-hypothesis.pdf,1,Aaron W. Lukaszewski...,What Explains Personality Covariation? A...
Syndrome,lukaszewski-et-al-2017-what-explains-personality-covariation-a-test-of-the-socioecological-complexity-hypothesis.pdf,9,Aaron W. Lukaszewski...,What Explains Personality Covariation? A...
Syndrome,lukaszewski-et-al-2019-toward-integration-of-the-niche-diversity-hypothesis-with-other-explanations-for-personality.pdf,1,"Aaron Lukaszewski, M...",Toward Integration of the Niche Diversit...
Syndrome,lukaszewski-et-al-2019-toward-integration-of-the-niche-diversity-hypothesis-with-other-explanations-for-personality.pdf,2,"Aaron Lukaszewski, M...",Toward Integration of the Niche Diversit...
Syndrome,lukaszewski-et-al-2019-toward-integration-of-the-niche-diversity-hypothesis-with-other-explanations-for-personality.pdf,3,"Aaron Lukaszewski, M...",Toward Integration of the Niche Diversit...
accessib,luo-et-al-2019-on-the-etiology-of-self-enhancement-and-its-association-with-psychological-well-being.pdf,2,"Yu L. L. Luo, Consta...",On the Etiology of Self-Enhancement and ...
accessib,macinnis-et-al-2016-multilevel-intergroup-contact-and-antigay-prejudice-explicit-and-implicit-evidence-of-contextual.pdf,2,"Cara C. MacInnis, El...",Multilevel Intergroup Contact and Antiga...
accessib,macinnis-et-al-2016-multilevel-intergroup-contact-and-antigay-prejudice-explicit-and-implicit-evidence-of-contextual.pdf,4,"Cara C. MacInnis, El...",Multilevel Intergroup Contact and Antiga...
accessib,maher-et-al-2018-brexit-trump-and-the-polarizing-effect-of-disillusionment.pdf,4,"Paul J. Maher, Eric ...","Brexit, Trump, and the Polarizing Effect..."
cripple,mao-et-al-2018-how-gender-identity-and-transgender-status-affect-perceptions-of-attractiveness.pdf,4,"Jessica M. Mao, M. L...",How Gender Identity and Transgender Stat...
accessib,mclean-et-al-2017-explaining-system-missing-missing-data-and-experience-sampling-method.pdf,5,"Derrick C. McLean, J...",Explaining System Missing
accessib,mcphetres-et-al-2020-religious-americans-have-less-positive-attitudes-toward-science-but-this-does-not-extend-to-other.pdf,7,"Jonathon McPhetres, ...",Religious Americans Have Less Positive A...
accessib,mcphetres-zuckerman-2017-religious-people-endorse-different-standards-of-evidence-when-evaluating-religious-versus.pdf,6,Jonathon McPhetres a...,Religious People Endorse Different Stand...
Ailment,mcphetres-zuckerman-2017-religious-people-endorse-different-standards-of-evidence-when-evaluating-religious-versus.pdf,6,Jonathon McPhetres a...,Religious People Endorse Different Stand...
Syndrome,mededovic-2019-an-evolutionary-ecological-framework-for-understanding-human-behavioral-syndromes-commentary-on.pdf,1,Janko Međedović,An Evolutionary Ecological Framework for...
Syndrome,mededovic-2019-an-evolutionary-ecological-framework-for-understanding-human-behavioral-syndromes-commentary-on.pdf,2,Janko Međedović,An Evolutionary Ecological Framework for...
Syndrome,mededovic-2019-an-evolutionary-ecological-framework-for-understanding-human-behavioral-syndromes-commentary-on.pdf,3,Janko Međedović,An Evolutionary Ecological Framework for...
Syndrome,mededovic-2019-an-evolutionary-ecological-framework-for-understanding-human-behavioral-syndromes-commentary-on.pdf,4,Janko Međedović,An Evolutionary Ecological Framework for...
Syndrome,meeusen-et-al-2017-comparing-a-variable-centered-and-a-person-centered-approach-to-the-structure-of-prejudice.pdf,11,"Cecil Meeusen, Bart ...",Comparing a Variable-Centered and a Pers...
accessib,melnikoff-et-al-2020-tracking-prejudice-a-mouse-tracking-measure-of-evaluative-conflict-predicts-discriminatory-behavior.pdf,1,"David E. Melnikoff, ...",Tracking Prejudice: A Mouse-Tracking Mea...
accessib,melnikoff-et-al-2020-tracking-prejudice-a-mouse-tracking-measure-of-evaluative-conflict-predicts-discriminatory-behavior.pdf,2,"David E. Melnikoff, ...",Tracking Prejudice: A Mouse-Tracking Mea...
disab,monroe-et-al-2016-this-isn-t-the-free-will-worth-looking-for-general-free-will-beliefs-do-not-influence-moral-judgments.pdf,2,"Andrew E. Monroe, Ga...",This Isnt the Free Will Worth Looking F...
incapac,monroe-et-al-2016-this-isn-t-the-free-will-worth-looking-for-general-free-will-beliefs-do-not-influence-moral-judgments.pdf,7,"Andrew E. Monroe, Ga...",This Isnt the Free Will Worth Looking F...
Impairment,monroe-et-al-2016-this-isn-t-the-free-will-worth-looking-for-general-free-will-beliefs-do-not-influence-moral-judgments.pdf,7,"Andrew E. Monroe, Ga...",This Isnt the Free Will Worth Looking F...
disab,moody-et-al-2017-emotional-mimicry-beyond-the-face-rapid-face-and-body-responses-to-facial-expressions.pdf,9,"Eric J. Moody, Cathe...",Emotional Mimicry Beyond the Face?
accessib,mortensen-et-al-2017-trending-norms-a-lever-for-encouraging-behaviors-performed-by-the-minority.pdf,2,"Chad R. Mortensen, R...",Trending Norms: A Lever for Encouraging ...
disab,moser-branscombe-2021-male-allies-at-work-gender-equality-supportive-men-reduce-negative-underrepresentation-effects.pdf,9,Charlotte E. Moser a...,Male Allies at Work: Gender-Equality Sup...
accessib,murphy-2017-a-hands-on-guide-to-conducting-psychological-research-on-twitter.pdf,1,Sean C. Murphy,A Hands-On Guide to Conducting Psycholog...
accessib,murphy-2017-a-hands-on-guide-to-conducting-psychological-research-on-twitter.pdf,2,Sean C. Murphy,A Hands-On Guide to Conducting Psycholog...
accessib,murray-et-al-2021-looking-for-safety-in-all-the-right-places-when-threatening-political-reality-strengthens-family.pdf,3,"Sandra L. Murray, Ma...",Looking for Safety in All the Right Plac...
accessib,murray-et-al-2021-looking-for-safety-in-all-the-right-places-when-threatening-political-reality-strengthens-family.pdf,6,"Sandra L. Murray, Ma...",Looking for Safety in All the Right Plac...
\bailing,murray-et-al-2021-looking-for-safety-in-all-the-right-places-when-threatening-political-reality-strengthens-family.pdf,6,"Sandra L. Murray, Ma...",Looking for Safety in All the Right Plac...
Chronic illness,naqvi-helgeson-2021-harmonious-relations-relational-interdependence-moderates-affective-reactivity-to-interpersonal.pdf,7,Jeanean B. Naqvi and...,Harmonious Relations: Relational Interde...
accessib,nelson-et-al-2019-does-meaning-motivate-magical-thinking-among-theists-and-atheists.pdf,3,"Taylor A. Nelson, An...",Does Meaning Motivate Magical Thinking A...
accessib,newman-et-al-2018-conservatives-report-greater-meaning-in-life-than-liberals.pdf,10,"David B. Newman, Nor...",Conservatives Report Greater Meaning in ...
Defect,newman-sargent-2020-liberals-report-lower-levels-of-attitudinal-ambivalence-than-conservatives.pdf,6,Leonard S. Newman an...,Liberals Report Lower Levels of Attitudi...
deficien,newman-sargent-2020-liberals-report-lower-levels-of-attitudinal-ambivalence-than-conservatives.pdf,4,Leonard S. Newman an...,Liberals Report Lower Levels of Attitudi...
functional limitation,nickel-et-al-2016-compensatory-conscientiousness-redux-a-direct-replication-of-roberts-smith-jackson-and-edmonds-2009.pdf,1,"Lauren B. Nickel, Ja...",Compensatory Conscientiousness Redux
functional limitation,nickel-et-al-2016-compensatory-conscientiousness-redux-a-direct-replication-of-roberts-smith-jackson-and-edmonds-2009.pdf,3,"Lauren B. Nickel, Ja...",Compensatory Conscientiousness Redux
functional limitation,nickel-et-al-2016-compensatory-conscientiousness-redux-a-direct-replication-of-roberts-smith-jackson-and-edmonds-2009.pdf,4,"Lauren B. Nickel, Ja...",Compensatory Conscientiousness Redux
functional limitation,nickel-et-al-2016-compensatory-conscientiousness-redux-a-direct-replication-of-roberts-smith-jackson-and-edmonds-2009.pdf,5,"Lauren B. Nickel, Ja...",Compensatory Conscientiousness Redux
of daily living,nickel-et-al-2016-compensatory-conscientiousness-redux-a-direct-replication-of-roberts-smith-jackson-and-edmonds-2009.pdf,2,"Lauren B. Nickel, Ja...",Compensatory Conscientiousness Redux
disab,nicolas-et-al-2018-other-than-the-sum-hispanic-and-middle-eastern-categorizations-of-black-white-mixed-race-faces.pdf,10,"Gandalf Nicolas, All...",Other Than the Sum: Hispanic and Middle ...
accessib,nicolas-et-al-2018-other-than-the-sum-hispanic-and-middle-eastern-categorizations-of-black-white-mixed-race-faces.pdf,2,"Gandalf Nicolas, All...",Other Than the Sum: Hispanic and Middle ...
accessib,nicolas-et-al-2018-other-than-the-sum-hispanic-and-middle-eastern-categorizations-of-black-white-mixed-race-faces.pdf,9,"Gandalf Nicolas, All...",Other Than the Sum: Hispanic and Middle ...
brain dama,nordgren-mcdonnell-2010-the-scope-severity-paradox-why-doing-more-harm-is-judged-to-be-less-harmful.pdf,5,Loran F. Nordgren an...,The Scope-Severity Paradox
disab,norman-et-al-2021-to-pursue-or-not-to-pursue-stem-faculty-behavior-enhances-student-involvement-in-stem-roles-by.pdf,11,"Jasmine B. Norman, M...",To Pursue or Not to Pursue STEM? Faculty...
Dysfunction,nuzulia-why-2020-when-the-dark-shines-the-role-of-dark-personality-traits-in-leadership-role-occupancy-and-hiring.pdf,11,Siti Nuzulia and Fel...,When the Dark Shines: The Role of Dark P...
accessib,o-brien-et-al-2016-improving-girls-sense-of-fit-in-science-increasing-the-impact-of-role-models.pdf,3,"Laurie T. OBrien, A...",Improving Girls Sense of Fit in Science
disab,o-shea-et-al-2019-infectious-disease-prevalence-not-race-exposure-predicts-both-implicit-and-explicit-racial-prejudice.pdf,10,"Brian A. OShea, Der...","Infectious Disease Prevalence, Not Race ..."
Dysfunction,olsavsky-et-al-2020-self-reported-adult-attachment-and-observed-parenting-behavior-of-new-mothers-and-fathers.pdf,14,"Anna L. Olsavsky, Mi...",Self-Reported Adult Attachment and Obser...
