"","X","DOI","Title","trimmed_title","CombinedCites","CombinedAuthors","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","DOI_missing","CitationURL","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","FullTextURL","RelatedURL"
"453",453,"10.1177/0146167220908411","Everyday thoughts in time: Experience sampling studies of mental time travel","everyday thoughts in time experience sampling stud",64,"RF Baumeister, W Hofmann…",2020,"… Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167220908411","https://scholar.google.com/scholar?cites=12698987276201037068&as_sdt=2005&sciodt=0,5&hl=en",16,FALSE,NA,64,21.33,21,3,3,"Time is among the most important yet mysterious aspects of experience. We investigated everyday mental time travel, especially into the future. Two community samples, contacted at …","https://psyarxiv.com/8zfwq/download?format=pdf","https://scholar.google.com/scholar?q=related:DA0rRaXdO7AJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2020&as_yhi=2020"
"464",464,"10.1177/0146167220914116","Social class predicts emotion perception and perspective-taking performance in adults","social class predicts emotion perception and persp",52,"P Dietze, ED Knowles",2021,"Personality and Social Psychology …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167220914116","https://scholar.google.com/scholar?cites=133483330171546292&as_sdt=2005&sciodt=0,5&hl=en",12,FALSE,NA,52,26,26,2,2,"“Theory of Mind”(ToM; people's ability to infer and use information about others' mental states) varies across cultures. In four studies (N= 881), including two preregistered …","https://journals.sagepub.com/doi/pdf/10.1177/0146167220914116","https://scholar.google.com/scholar?q=related:tKpPrmE62gEJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2021&as_yhi=2021"
"469",469,"10.1177/0146167220916640","Social class competence stereotypes are amplified by socially signaled economic inequality","social class competence stereotypes are amplified ",41,"P Connor, J Varney, D Keltner…",2021,"… and Social Psychology …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167220916640","https://scholar.google.com/scholar?cites=10739237096847871709&as_sdt=2005&sciodt=0,5&hl=en",15,FALSE,NA,41,20.5,10,4,2,"A number of psychological theories suggest that increased economic inequality may lead to greater social class stereotyping. However, all existing evidence for this claim is …","https://journals.sagepub.com/doi/pdf/10.1177/0146167220916640","https://scholar.google.com/scholar?q=related:3Y5QnD1vCZUJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2021&as_yhi=2021"
"499",499,"10.1177/0146167220936480","Am I a science person? A strong science identity bolsters minority students' sense of belonging and performance in college","am i a science person a strong science identity bo",73,"S Chen, KR Binning, KJ Manke…",2021,"… Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167220936480","https://scholar.google.com/scholar?cites=17554173053310909689&as_sdt=2005&sciodt=0,5&hl=en",4,FALSE,NA,73,36.5,18,4,2,"Identifying as a “science person” is predictive of science success, but the mechanisms involved are not well-understood. We hypothesized that science identity predicts success …","https://journals.sagepub.com/doi/full/10.1177/0146167220936480","https://scholar.google.com/scholar?q=related:-bxU0GLznPMJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2021&as_yhi=2021"
"516",516,"10.1177/0146167220948706","Support processes predict declines in attachment avoidance across the transition to parenthood","support processes predict declines in attachment a",23,"WS Rholes, J Eller, JA Simpson…",2021,"… and Social Psychology …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167220948706","https://scholar.google.com/scholar?cites=7181817191946870560&as_sdt=2005&sciodt=0,5&hl=en",34,FALSE,NA,23,11.5,6,4,2,"Attachment orientations in adulthood can change over time, but the specific circumstances that directly affect change are not well understood. Bowlby proposed that those …","https://socialinteractionlab.psych.umn.edu/sites/socialinteractionlab.psych.umn.edu/files/2020-12/rholes_et_al._2020_pspb.pdf","https://scholar.google.com/scholar?q=related:IF_JZ6_wqmMJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2021&as_yhi=2021"
"517",517,"10.1177/0146167220948707","Person-message fit: Racial identification moderates the benefits of multicultural and colorblind diversity approaches","personmessage fit racial identification moderates ",26,"TA Kirby, CR Kaiser",2021,"Personality and Social Psychology …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167220948707","https://scholar.google.com/scholar?cites=11309071218482672740&as_sdt=2005&sciodt=0,5&hl=en",28,FALSE,NA,26,13,13,2,2,"Although diversity approaches attempt to foster inclusion, one size may not fit all. In five studies, African Americans (N= 1,316), who varied in strength of racial identification …","https://journals.sagepub.com/doi/pdf/10.1177/0146167220948707","https://scholar.google.com/scholar?q=related:ZPRA7Vrk8ZwJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2021&as_yhi=2021"
"521",521,"10.1177/0146167220949362","Stability and change in personality traits and major life goals from college to midlife","stability and change in personality traits and maj",86,"OE Atherton, E Grijalva, BW Roberts…",2021,"… Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167220949362","https://scholar.google.com/scholar?cites=12133448292612431555&as_sdt=2005&sciodt=0,5&hl=en",1,FALSE,NA,86,43,22,4,2,"The association between personality traits and motivational units, such as life goals, has been a long-standing interest of personality scientists. However, little research has …","https://psyarxiv.com/ekn5p/download?format=pdf","https://scholar.google.com/scholar?q=related:w967te-qYqgJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2021&as_yhi=2021"
"525",525,"10.1177/0146167220950522","Can researchers' personal characteristics shape their statistical inferences?","can researchers personal characteristics shape the",3,"EW Dunn, L Chen, JDE Proulx…",2021,"… Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167220950522","https://scholar.google.com/scholar?cites=13451615959901923997&as_sdt=2005&sciodt=0,5&hl=en",102,FALSE,NA,3,1.5,1,4,2,"Researchers' subjective judgments may affect the statistical results they obtain. This possibility is particularly stark in Bayesian hypothesis testing: To use this increasingly …","https://psyarxiv.com/dg4be/download/?format=pdf","https://scholar.google.com/scholar?q=related:nertIHK9rboJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2021&as_yhi=2021"
"531",531,"10.1177/0146167220959176","The impact of laws on norms perceptions","the impact of laws on norms perceptions",26,"L Eisner, F Turner-Zwinkels…",2021,"… and Social Psychology …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167220959176","https://scholar.google.com/scholar?cites=14577656366510334623&as_sdt=2005&sciodt=0,5&hl=en",26,FALSE,NA,26,13,9,3,2,"When opinions in a society change toward more or less tolerance of a group, people do not necessarily see it. Drawing on a quasi-representative survey (Study 1, N= 830) and a natural …","https://psyarxiv.com/hvqc7/download?format=pdf","https://scholar.google.com/scholar?q=related:n2KPxzo9TsoJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2021&as_yhi=2021"
"536",536,"10.1177/0146167220963577","Precarious manhood predicts support for aggressive policies and politicians","precarious manhood predicts support for aggressive",28,"SH DiMuccio, ED Knowles",2021,"… and social psychology bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167220963577","https://scholar.google.com/scholar?cites=6210927134631944450&as_sdt=2005&sciodt=0,5&hl=en",23,FALSE,NA,28,14,14,2,2,"Precarious manhood (PM) theory posits that males are expected to actively maintain their reputations as “real men.” We propose that men's concern about failing to meet masculine …","https://drive.google.com/file/d/1lajgw1f6S7RRgt62yomes95UldCw9Urn/view","https://scholar.google.com/scholar?q=related:AmGScVKlMVYJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2021&as_yhi=2021"
"540",540,"10.1177/0146167220964638","Can (instructions about) stimulus pairings influence automatic and self-reported evaluations in the presence of more diagnostic evaluative information?","can instructions about stimulus pairings influence",3,"T Moran, P Van Dessel, CT Smith…",2021,"… Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167220964638","https://scholar.google.com/scholar?cites=1259177200489068351&as_sdt=2005&sciodt=0,5&hl=en",103,FALSE,NA,3,1.5,1,4,2,"Evaluative conditioning (EC) and persuasion are important pathways for shaping evaluations. However, little is known about how these pathways interact. Two preregistered …","https://biblio.ugent.be/publication/8674764/file/8769365.pdf","https://scholar.google.com/scholar?q=related:P_drEP5-eREJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2021&as_yhi=2021"
"541",541,"10.1177/0146167220964639","Eavesdropping on missing data: What are university students doing when they miss experience sampling reports?","eavesdropping on missing data what are university ",33,"J Sun, M Rhemtulla, S Vazire",2021,"… Social Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167220964639","https://scholar.google.com/scholar?cites=12285338197204259762&as_sdt=2005&sciodt=0,5&hl=en",27,FALSE,NA,33,16.5,11,3,2,"Participants in experience sampling method (ESM) studies are “beeped” several times per day to report on their momentary experiences—but participants do not always answer the …","https://journals.sagepub.com/doi/pdf/10.1177/0146167220964639","https://scholar.google.com/scholar?q=related:stPl9f9JfqoJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2021&as_yhi=2021"
"547",547,"10.1177/0146167220969021","Politics, personality, and impulsivity can color people's perceptions of—and responses to—hurricane threats of varying severity","politics personality and impulsivity can color peo",5,"JE Losee, CT Smith…",2021,"… social psychology bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167220969021","https://scholar.google.com/scholar?cites=743455720537238095&as_sdt=2005&sciodt=0,5&hl=en",98,FALSE,NA,5,2.5,2,3,2,"Theory and research suggest that objective features of a threatening situation and individual differences influence threat responses. We examine three ways individual traits may relate …",NA,"https://scholar.google.com/scholar?q=related:T6ra8AlJUQoJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2021&as_yhi=2021"
"552",552,"10.1177/0146167220974489","A diffusion model approach for understanding the impact of 17 interventions on the race Implicit Association Test","a diffusion model approach for understanding the i",15,"J Röhner, CK Lai",2021,"Personality and Social Psychology …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167220974489","https://scholar.google.com/scholar?cites=6018866487438249017&as_sdt=2005&sciodt=0,5&hl=en",56,FALSE,NA,15,7.5,8,2,2,"Performance on implicit measures reflects construct-specific and nonconstruct-specific processes. This creates an interpretive issue for understanding interventions to change …","https://osf.io/dx4a7/download","https://scholar.google.com/scholar?q=related:OYxCVi5Ph1MJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2021&as_yhi=2021"
"569",569,"10.1177/0146167220984298","“Be a man”: The role of social pressure in eliciting men's aggressive cognition","be a man the role of social pressure in eliciting ",21,"A Stanaland, S Gaither",2021,"Personality and Social Psychology …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167220984298","https://scholar.google.com/scholar?cites=4772107660866436109&as_sdt=2005&sciodt=0,5&hl=en",32,FALSE,NA,21,10.5,11,2,2,"Threatening a man's manhood—but not a woman's womanhood—elicits aggression. In two studies, we found evidence that this aggression is related to the social pressure men …","https://psyarxiv.com/5wxtf/download?format=pdf","https://scholar.google.com/scholar?q=related:DTzdQ6LuOUIJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2021&as_yhi=2021"
"572",572,"10.1177/0146167220985362","The Blame Intensity Inventory: Assessing the Propensity to Blame Harshly and Its Unique Capacity to Predict Malicious Satisfaction From Offender Victimization","the blame intensity inventory assessing the propen",10,"MJ Gill, SC Cerce",2021,"Personality and Social Psychology …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167220985362","https://scholar.google.com/scholar?cites=12046244093066626513&as_sdt=2005&sciodt=0,5&hl=en",78,FALSE,NA,10,5,5,2,2,"Blame permeates our social lives. When done properly, blame can facilitate the upholding of moral norms. When done with excessive intensity or harshness, however, blame can have …","https://psyarxiv.com/e4sh6/download?format=pdf","https://scholar.google.com/scholar?q=related:0UXizC3bLKcJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2021&as_yhi=2021"
"578",578,"10.1177/0146167220988372","Attributions to discrimination against Black victims in a multiracial society: Isolating the effect of perpetrator group membership","attributions to discrimination against black victi",3,"LT O'Brien, SK Merritt",2022,"Personality and social psychology …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167220988372","https://scholar.google.com/scholar?cites=14199199153749401912&as_sdt=2005&sciodt=0,5&hl=en",146,FALSE,NA,3,3,2,2,1,"As the United States becomes more racially and ethnically diverse, interactions between Black people and other minority groups have become increasingly common. The present …","https://journals.sagepub.com/doi/pdf/10.1177/0146167220988372","https://scholar.google.com/scholar?q=related:OKFCVmawDcUJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
"581",581,"10.1177/01461672211002362","The relation between gender identity and well-being","the relation between gender identity and wellbeing",10,"H Zitelny, T Dror, S Altman…",2022,"… and Social Psychology …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/01461672211002362","https://scholar.google.com/scholar?cites=1987831274306430934&as_sdt=2005&sciodt=0,5&hl=en",140,FALSE,NA,10,10,3,4,1,"Does strong gender identity help or harm one's well-being? Previous research suggests that acceptance of one's social group and feelings of belongingness to the group are positively …","https://journals.sagepub.com/doi/pdf/10.1177/01461672211002362","https://scholar.google.com/scholar?q=related:1mdyEgMylhsJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
"583",583,"10.1177/01461672211002773","Biased benevolence: The perceived morality of effective altruism across social distance","biased benevolence the perceived morality of effec",28,"KF Law, D Campbell, B Gaesser",2022,"… Social Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/01461672211002773","https://scholar.google.com/scholar?cites=13817581091734921964&as_sdt=2005&sciodt=0,5&hl=en",53,FALSE,NA,28,28,9,3,1,"Is altruism always morally good, or is the morality of altruism fundamentally shaped by the social opportunity costs that often accompany helping decisions? Across four studies, we …","https://psyarxiv.com/qzx67/download?format=pdf","https://scholar.google.com/scholar?q=related:7KIDVMvowb8J:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
"588",588,"10.1177/01461672211007229","Phenotypic mimicry distinguishes cues of mating competition from paternal investment in men's conspicuous consumption","phenotypic mimicry distinguishes cues of mating co",3,"DJ Kruger",2022,"Personality and Social Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/01461672211007229","https://scholar.google.com/scholar?cites=17243914937224211777&as_sdt=2005&sciodt=0,5&hl=en",138,FALSE,NA,3,3,3,1,1,"Evolutionary psychologists propose that men's conspicuous consumption facilitates mate attraction because it predicts resource investment in offspring. This article elaborates on the …",NA,"https://scholar.google.com/scholar?q=related:QS1N8kWxTu8J:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
"612",612,"10.1177/01461672211024118","Knowledge about individuals' interracial friendships is systematically associated with mental representations of race, traits, and group solidarity","knowledge about individuals interracial friendship",2,"JR Kunst, IN Onyeador…",2022,"… Social Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/01461672211024118","https://scholar.google.com/scholar?cites=5460555965117155085&as_sdt=2005&sciodt=0,5&hl=en",161,FALSE,NA,2,2,1,3,1,"Individuals with other-race friends are perceived to identify less strongly with their racial in-group than are individuals with same-race friends. Using the reverse-correlation technique …","https://journals.sagepub.com/doi/pdf/10.1177/01461672211024118","https://scholar.google.com/scholar?q=related:DcfyELjKx0sJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
"613",613,"10.1177/01461672211024121","Examining automatic stereotyping from a propositional perspective: Is automatic stereotyping sensitive to relational and validity information?","examining automatic stereotyping from a propositio",4,"T Moran, J Cummins…",2022,"… Social Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/01461672211024121","https://scholar.google.com/scholar?cites=12428714028429559076&as_sdt=2005&sciodt=0,5&hl=en",125,FALSE,NA,4,4,1,3,1,"Research on automatic stereotyping is dominated by the idea that automatic stereotyping reflects the activation of (group–trait) associations. In two preregistered experiments (total …","https://biblio.ugent.be/publication/8708558/file/8708561","https://scholar.google.com/scholar?q=related:JEV1B4-pe6wJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
"642",642,"10.1177/01461672211037134","Stereotypes about political attitudes and coalitions among US racial groups: Implications for strategic political decision-making","stereotypes about political attitudes and coalitio",9,"MA Craig, LX Zou, H Bai…",2022,"… Social Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/01461672211037134","https://scholar.google.com/scholar?cites=18309263827987803729&as_sdt=2005&sciodt=0,5&hl=en",88,FALSE,NA,9,9,2,4,1,"What are people's expectations of interracial political coalitions? This research reveals expectations of flexible interracial coalitions stemming from how policies and racial groups …","https://journals.sagepub.com/doi/pdf/10.1177/01461672211037134","https://scholar.google.com/scholar?q=related:US4f5nGSF_4J:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
"658",658,"10.1177/01461672211047016","Retraction Notice","retraction notice",0,"PA Small, B Major, C Kaiser",2021,NA,"journals.sagepub.com","https://journals.sagepub.com/doi/pdf/10.1177/01461672211047016",NA,109,FALSE,NA,0,0,0,3,2,"Three experiments investigated how framing diversity as all-inclusive affects recognition of racial injustice. Among Whites, viewing a company mission statement that specifically …","https://journals.sagepub.com/doi/pdf/10.1177/01461672211047016","https://scholar.google.com/scholar?q=related:d9selG5vPz8J:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2021&as_yhi=2021"
"666",666,"10.1177/01461672211051488","In the mindset of opportunity: proactive mindset, perceived opportunities, and role attitudes","in the mindset of opportunity proactive mindset pe",4,"TM Benson-Greenwald…",2022,"… and Social Psychology …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/01461672211051488","https://scholar.google.com/scholar?cites=5551421082878372859&as_sdt=2005&sciodt=0,5&hl=en",105,FALSE,NA,4,4,2,2,1,"Perceiving roles as fulfilling goals offers motivational benefits to students, and yet the features of individuals or contexts that align with seeing such role opportunities have not …","https://journals.sagepub.com/doi/pdf/10.1177/01461672211051488","https://scholar.google.com/scholar?q=related:-2uU6w-cCk0J:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
"669",669,"10.1177/01461672211056774","The ups and downs of being us: Cross-relationship comparisons in daily life","the ups and downs of being us crossrelationship co",3,"S Thai, P Lockwood…",2022,"… and Social Psychology …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/01461672211056774","https://scholar.google.com/scholar?cites=644606384026893012&as_sdt=2005&sciodt=0,5&hl=en",111,FALSE,NA,3,3,1,3,1,"Cross-relationship comparisons are an integral part of relationship processes, yet little is known about the impact of these comparisons in daily life. The present research employed a …","https://www.researchgate.net/profile/Sabrina-Thai/publication/357051857_The_Ups_and_Downs_of_Being_Us_Cross-Relationship_Comparisons_in_Daily_Life/links/623c83e75758b418f2a71fcb/The-Ups-and-Downs-of-Being-Us-Cross-Relationship-Comparisons-in-Daily-Life.pdf","https://scholar.google.com/scholar?q=related:1DrfSxca8ggJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
"670",670,"10.1177/0146167221989322","PSPB Editorial Philosophy, January 2021","pspb editorial philosophy january 2021",0,"M Robinson, Y Huo, E Impett…",2021,"… and Social Psychology …","journals.sagepub.com","https://journals.sagepub.com/doi/full/10.1177/0146167221989322",NA,115,FALSE,NA,0,0,0,4,2,"2 Personality and Social Psychology Bulletin 00 (0) details). Upon publication, open materials, data, and code will be made available to readers. In accordance with Level II …",NA,"https://scholar.google.com/scholar?q=related:WZy6snwTkEYJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2021&as_yhi=2021"
"672",672,"10.1177/0146167221990488","Outside the eye of the storm: Can moderate hurricane exposure improve social, psychological, and attachment functioning?","outside the eye of the storm can moderate hurrican",15,"AD Mancini, M Westphal…",2021,"… social psychology bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167221990488","https://scholar.google.com/scholar?cites=12122426415520576500&as_sdt=2005&sciodt=0,5&hl=en",66,FALSE,NA,15,7.5,5,3,2,"High-intensity disaster can harm psychological functioning. Could moderate-intensity disaster improve psychological and attachment functioning through its effects on social …","https://psyarxiv.com/bm9kh/download?format=pdf","https://scholar.google.com/scholar?q=related:9HPq-JiCO6gJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2021&as_yhi=2021"
"677",677,"10.1177/0146167221997619","Stepping outside the echo chamber: Is intellectual humility associated with less political myside bias?","stepping outside the echo chamber is intellectual ",44,"SM Bowes, TH Costello, C Lee…",2022,"… Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167221997619","https://scholar.google.com/scholar?cites=898937440054693393&as_sdt=2005&sciodt=0,5&hl=en",3,FALSE,NA,44,44,11,4,1,"In recent years, an upsurge of polarization has been a salient feature of political discourse in America. A small but growing body of research has examined the potential relevance of …","https://journals.sagepub.com/doi/pdf/10.1177/0146167221997619","https://scholar.google.com/scholar?q=related:EU7CxdaqeQwJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
"680",680,"10.1177/01461672221088402","A Bias Toward Kindness Goals in Performance Feedback to Women (vs. Men)","a bias toward kindness goals in performance feedba",1,"L Jampol, A Rattan, EB Wolf",2022,"… Social Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/01461672221088402","https://scholar.google.com/scholar?cites=2332553274594352536&as_sdt=2005&sciodt=0,5&hl=en",123,FALSE,NA,1,1,0,3,1,"While research has documented positivity biases in workplace feedback to women versus men, this phenomenon is not fully understood. We take a motivational perspective …","https://lbsresearch.london.edu/id/eprint/2339/1/Kind%20Bias%20RRR_Final.docx","https://scholar.google.com/scholar?q=related:mN3eR9jkXiAJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
"681",681,"10.1177/01461672221092273","Gratitude is morally sensitive","gratitude is morally sensitive",4,"H Yu, Y Zhou, AM Nussberger",2022,"… Social Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/01461672221092273","https://scholar.google.com/scholar?cites=14333697225307186241&as_sdt=2005&sciodt=0,5&hl=en",72,FALSE,NA,4,4,1,3,1,"Helping acts, however well intended and beneficial, sometimes involve immoral means or immoral helpers. Here, we explore whether help recipients consider moral evaluations in …","https://journals.sagepub.com/doi/pdf/10.1177/01461672221092273","https://scholar.google.com/scholar?q=related:QeRv6K6F68YJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
"682",682,"10.1177/01461672221096587","A longitudinal test of the conservative-liberal well-being gap","a longitudinal test of the conservativeliberal wel",3,"S Vargas Salfate, SS Khan, JH Liu…",2022,"… Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/01461672221096587","https://scholar.google.com/scholar?cites=14060062027021137385&as_sdt=2005&sciodt=0,5&hl=en",35,FALSE,NA,3,3,1,4,1,"In this article, we test if conservatism predicts psychological well-being longitudinally. We based the study on previous findings showing that conservatives score higher on different …","https://www.researchgate.net/profile/Homero-Gil-De-Zuniga/publication/361815205_A_Longitudinal_Test_of_the_Conservative-Liberal_Well-Being_Gap/links/63693c852f4bca7fd03d7868/A-Longitudinal-Test-of-the-Conservative-Liberal-Well-Being-Gap.pdf","https://scholar.google.com/scholar?q=related:6bWNkOtfH8MJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
"683",683,"10.1177/01461672221099392","Racialized perceptions of vegetarianism: Stereotypical associations that undermine inclusion in eating behaviors","racialized perceptions of vegetarianism stereotypi",4,"DL Rosenfeld, TN Brannon…",2022,"… and Social Psychology …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/01461672221099392","https://scholar.google.com/scholar?cites=343633132466668493&as_sdt=2005&sciodt=0,5&hl=en",37,FALSE,NA,4,4,1,3,1,"Shifting societal eating patterns toward a vegetarian diet offers promise for improving public health and environmental sustainability. Yet concerns exist about racial disparities in …","https://journals.sagepub.com/doi/pdf/10.1177/01461672221099392","https://scholar.google.com/scholar?q=related:zQO7aYPUxAQJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
"684",684,"10.1177/01461672221100336","Spontaneous trait inferences from behavior: A systematic meta-analysis","spontaneous trait inferences from behavior a syste",5,"A Bott, L Brockmann, I Denneberg…",2022,"… Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/01461672221100336","https://scholar.google.com/scholar?cites=16034653766734192278&as_sdt=2005&sciodt=0,5&hl=en",77,FALSE,NA,5,5,1,4,1,"Research suggests that people spontaneously infer traits from behavioral information, thus forming impressions of actors' personalities. Such spontaneous trait inferences (STI) have …","https://journals.sagepub.com/doi/pdf/10.1177/01461672221100336","https://scholar.google.com/scholar?q=related:lh6SRqWIht4J:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
"685",685,"10.1177/01461672221102015","When Objective Ambivalence Predicts Subjective Ambivalence: An Affect–Cognition Matching Perspective","when objective ambivalence predicts subjective amb",2,"WJR Ng, YHM See, LE Wallace",2022,"… Social Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/01461672221102015","https://scholar.google.com/scholar?cites=448465172020698121&as_sdt=2005&sciodt=0,5&hl=en",86,FALSE,NA,2,2,1,3,1,"Understanding when people are likely to feel ambivalent is important, as ambivalence is associated with key attitude outcomes, such as attitude-behavior consistency. Interestingly …","https://www.michellesee.com/uploads/1/1/9/6/119627433/ng_et_al.__2022_._when_objective_ambivalence_predicts_subjective_ambivalence.pdf","https://scholar.google.com/scholar?q=related:CZxtqLJEOQYJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
